Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,WEST BENGAL,DIAMOND_HARBOUR,1,Abhishek Banerjee,AITC,0,Graduate,31,"Rs 1,37,94,320 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12741
2019,WEST BENGAL,DIAMOND_HARBOUR,2,Ajay Ghosh,SUCI(C),1,Post Graduate,69,"Rs 43,35,520 ~ 43 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12738
2019,WEST BENGAL,DIAMOND_HARBOUR,3,Fuad Halim,CPI(M),0,Graduate Professional,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12742
2019,WEST BENGAL,DIAMOND_HARBOUR,4,Md. Goribulla Molla,BSP,0,10th Pass,43,"Rs 11,92,900 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12743
2019,WEST BENGAL,DIAMOND_HARBOUR,5,Nilanjan Roy,BJP,4,Post Graduate,43,"Rs 45,59,455 ~ 45 Lacs+","Rs 9,35,601 ~ 9 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12739
2019,WEST BENGAL,DIAMOND_HARBOUR,6,Prabir Sarkar,IND,0,Post Graduate,58,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13971
2019,WEST BENGAL,DIAMOND_HARBOUR,7,Santosh Kumar,SHS,2,Graduate,39,"Rs 62,55,831 ~ 62 Lacs+","Rs 23,53,546 ~ 23 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13969
2019,WEST BENGAL,DIAMOND_HARBOUR,8,Soumya Aich Roy,INC,0,Post Graduate,49,"Rs 1,25,34,000 ~ 1 Crore+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12740
2019,WEST BENGAL,DIAMOND_HARBOUR,9,Subrata Bose,IND,0,Graduate,61,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13972
2019,WEST BENGAL,DIAMOND_HARBOUR,10,Swarnalata Sarkar,Bharatiya Nyay-Adhikar Raksha Party,0,10th Pass,44,"Rs 1,19,297 ~ 1 Lacs+","Rs 82,250 ~ 82 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13970
