Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,WEST BENGAL,MURSHIDABAD,3,Abu Taher Khan,AITC,3,8th Pass,57,Not Available,Not Available,Yes
2019,WEST BENGAL,MURSHIDABAD,1,"Abu Hena, S/O - Late Abdus Sattar",INC,0,Post Graduate,69,"Rs 80,21,988 ~ 80 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,MURSHIDABAD,2,"Abu Hena, S/O - Sazzad Ali",IND,0,12th Pass,26,"Rs 7,25,512 ~ 7 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,MURSHIDABAD,4,Badaruddoza Khan,CPI(M),0,Graduate,64,"Rs 48,93,387 ~ 48 Lacs+","Rs 42,492 ~ 42 Thou+",No
2019,WEST BENGAL,MURSHIDABAD,5,Dhananjoy Sarkar,Bahujan Mukti Party,0,Graduate,39,"Rs 6,15,796 ~ 6 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,MURSHIDABAD,6,Humayun Kabir,BJP,10,12th Pass,56,Not Available,Not Available,No
2019,WEST BENGAL,MURSHIDABAD,7,Humayun Kabir Sekh,IND,0,8th Pass,36,"Rs 7,77,750 ~ 7 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,MURSHIDABAD,8,Kamarujjaman Khandekar,SUCI(C),0,12th Pass,60,"Rs 1,10,253 ~ 1 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,MURSHIDABAD,9,Md Habibur Rahaman,Jamat-E-Seratul Mustakim,0,Post Graduate,61,Not Available,Not Available,No
2019,WEST BENGAL,MURSHIDABAD,10,Md. Jalaluddin Mondal,IND,0,Post Graduate,59,"Rs 80,70,000 ~ 80 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,MURSHIDABAD,11,Mijanul Haque,BSP,0,12th Pass,36,"Rs 32,49,000 ~ 32 Lacs+","Rs 21,50,000 ~ 21 Lacs+",No
