Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,2,Bishnu Pada Ray,BJP,0,Graduate,73,"Rs 2,74,39,170 ~ 2 Crore+","Rs 3,02,788 ~ 3 Lacs+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=17
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,1,Anand Ramnath Arlekar,IND,0,10th Pass,58,"Rs 8,43,025 ~ 8 Lacs+","Rs 13,36,346 ~ 13 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=717
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,3,D Ayyappan,CPI(M),0,Post Graduate,60,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=249
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,4,Dr Arun Kumar Mallik,BSP,0,Post Graduate,64,"Rs 11,18,72,135 ~ 11 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=250
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,5,K J B Selvaraj,AIADMK,0,Graduate,50,"Rs 3,28,60,000 ~ 3 Crore+","Rs 3,07,000 ~ 3 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=247
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,6,K Venkat Ram Babu,IND,0,10th Pass,50,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=718
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,7,Kuldeep Rai Sharma,INC,0,Graduate Professional,56,"Rs 15,20,41,369 ~ 15 Crore+","Rs 16,40,57,549 ~ 16 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=333
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,8,Manoj Paul,Andaman Nicobar Democratic Congress,15,Graduate Professional,35,"Rs 24,33,734 ~ 24 Lacs+","Rs 10,00,000 ~ 10 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=248
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,9,Rinku Mala Mondal,IND,0,Others,36,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=716
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,10,Salamat Mondal,SUCI(C),0,Literate,48,"Rs 1,79,62,500 ~ 1 Crore+","Rs 45,00,000 ~ 45 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=719
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,11,Usha Kumari,IND,0,12th Pass,39,"Rs 6,00,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=714
2024,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN_AND_NICOBAR_ISLANDS,12,V.K. Abdul Aziz,IND,2,8th Pass,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=713
