Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,ANDHRA PRADESH,ELURU,11,Putta Mahesh Kumar,TDP,1,Graduate Professional,36,"Rs 72,08,51,715 ~ 72 Crore+","Rs 20,04,30,056 ~ 20 Crore+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5105
2024,ANDHRA PRADESH,ELURU,1,Agasteen Kommina,IND,0,5th Pass,41,"Rs 8,00,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6113
2024,ANDHRA PRADESH,ELURU,2,Ajay Babu Boda,Navarang Congress Party,0,10th Pass,32,"Rs 70,000 ~ 70 Thou+","Rs 2,40,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6106
2024,ANDHRA PRADESH,ELURU,3,Bokinala Koteswara Rao,IND,0,Post Graduate,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6115
2024,ANDHRA PRADESH,ELURU,4,Byraboyina Malyadri,Bharatha Chaitanya Yuvajana Party,0,5th Pass,55,"Rs 1,21,70,000 ~ 1 Crore+","Rs 79,70,000 ~ 79 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6111
2024,ANDHRA PRADESH,ELURU,5,Dr. Mendem Santhosh Kumar (Pedda Babulu),Liberation Congress Party,0,Others,49,"Rs 6,00,000 ~ 6 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6112
2024,ANDHRA PRADESH,ELURU,6,Godugupati Veera Raghavulu,Pyramid Party of India,0,10th Pass,51,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6109
2024,ANDHRA PRADESH,ELURU,7,Kandavalli Jeeva Deva Dayakar,IND,0,Others,56,"Rs 11,55,300 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6107
2024,ANDHRA PRADESH,ELURU,8,Karumuri Sunil Kumar,YSRCP,0,Graduate,33,"Rs 27,04,00,000 ~ 27 Crore+","Rs 1,02,00,000 ~ 1 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5274
2024,ANDHRA PRADESH,ELURU,9,Kavuri Lavanya,INC,0,Post Graduate,47,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5275
2024,ANDHRA PRADESH,ELURU,10,Nitta Akhila Dharani Pal,BSP,0,Doctorate,65,"Rs 1,92,54,000 ~ 1 Crore+","Rs 38,00,000 ~ 38 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6110
2024,ANDHRA PRADESH,ELURU,12,Rajeswara Rao Kondru,Bharatheeya Jawan Kisan Party,0,10th Pass,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6108
2024,ANDHRA PRADESH,ELURU,13,Rudrapaka Ratna Rao (R.R.R),Andhra Rastra Praja Samithi,0,Post Graduate,70,"Rs 5,20,000 ~ 5 Lacs+","Rs 1,08,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6114
