Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,ANDHRA PRADESH,KURNOOL,4,Bastipati Nagaraju Panchalingala,TDP,0,Post Graduate,45,"Rs 9,01,76,000 ~ 9 Crore+","Rs 19,36,439 ~ 19 Lacs+",Yes
2024,ANDHRA PRADESH,KURNOOL,1,Abdul Sattar A.S.R,Anna YSR Congress Party,1,Post Graduate,42,"Rs 60,60,000 ~ 60 Lacs+","Rs 12,00,000 ~ 12 Lacs+",No
2024,ANDHRA PRADESH,KURNOOL,2,Amruth Kumar Salkapuram,Liberation Congress Party,0,Post Graduate,40,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,No
2024,ANDHRA PRADESH,KURNOOL,3,B Y Ramaiah,YSRCP,1,Post Graduate,57,Not Available,Not Available,No
2024,ANDHRA PRADESH,KURNOOL,5,Boya Suresh,IND,0,Graduate,30,"Rs 32,63,000 ~ 32 Lacs+",Rs 0 ~,No
2024,ANDHRA PRADESH,KURNOOL,6,Devarapogu Maddilety,IND,0,10th Pass,50,Not Available,Not Available,No
2024,ANDHRA PRADESH,KURNOOL,7,Dr. Reddypogu Praveen Kumar,IND,0,Doctorate,42,"Rs 3,35,000 ~ 3 Lacs+","Rs 1,44,500 ~ 1 Lacs+",No
2024,ANDHRA PRADESH,KURNOOL,8,Jahangir Ahmed,Social Democratic Party Of India,1,12th Pass,37,"Rs 5,11,000 ~ 5 Lacs+",Rs 0 ~,No
2024,ANDHRA PRADESH,KURNOOL,9,Mallepogu Naganna,SUCI(C),0,Illiterate,70,Not Available,Not Available,No
2024,ANDHRA PRADESH,KURNOOL,10,Manchala Lakshmi Narayana,BSP,0,10th Pass,50,"Rs 14,52,000 ~ 14 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2024,ANDHRA PRADESH,KURNOOL,11,P.G.Rampullaiah Yadav,INC,2,12th Pass,56,"Rs 10,00,000 ~ 10 Lacs+",Rs 0 ~,No
2024,ANDHRA PRADESH,KURNOOL,12,Pagadala Kodanda,IND,0,5th Pass,52,Not Available,Not Available,No
2024,ANDHRA PRADESH,KURNOOL,13,Prakash Reddy Ralampadu,IND,0,Graduate,41,"Rs 19,40,560 ~ 19 Lacs+","Rs 27,40,000 ~ 27 Lacs+",No
2024,ANDHRA PRADESH,KURNOOL,14,Sunkara Sreedhar,Jai Bharat National Party,0,Post Graduate,38,"Rs 3,63,71,260 ~ 3 Crore+","Rs 1,58,65,000 ~ 1 Crore+",No
2024,ANDHRA PRADESH,KURNOOL,15,T. Beechupalli,IND,0,12th Pass,31,Not Available,Not Available,No
2024,ANDHRA PRADESH,KURNOOL,16,Tarigopula Rajababu,All Peoples Party,0,Graduate Professional,52,"Rs 1,70,000 ~ 1 Lacs+",Rs 0 ~,No
2024,ANDHRA PRADESH,KURNOOL,17,Urukundu Vadde,IND,0,Post Graduate,34,"Rs 8,40,000 ~ 8 Lacs+","Rs 13,68,799 ~ 13 Lacs+",No
2024,ANDHRA PRADESH,KURNOOL,18,Valmiki Arjuna,Bharatha Chaitanya Yuvajana Party,0,Graduate,35,Not Available,Not Available,No
2024,ANDHRA PRADESH,KURNOOL,19,Vijaya Bhaskar .Reddypogu,IND,0,Post Graduate,44,"Rs 8,85,18,693 ~ 8 Crore+","Rs 12,96,015 ~ 12 Lacs+",No
