Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,ASSAM,KARIMGANJ,14,Kripanath Mallah,BJP,0,Graduate,50,"Rs 1,88,62,404 ~ 1 Crore+","Rs 63,14,782 ~ 63 Lacs+",Yes
2024,ASSAM,KARIMGANJ,1,Abdul Basit Tapadar,IND,0,12th Pass,53,"Rs 13,35,000 ~ 13 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,2,Abdul Goffar Talukdar,IND,0,12th Pass,43,"Rs 7,70,600 ~ 7 Lacs+","Rs 11,00,000 ~ 11 Lacs+",No
2024,ASSAM,KARIMGANJ,3,Abdul Hameed,IND,0,12th Pass,59,Not Available,Not Available,No
2024,ASSAM,KARIMGANJ,4,Abdul Kalam Mazumder,IND,3,8th Pass,39,"Rs 60,47,515 ~ 60 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,5,Abdus Subhan Tapadar,IND,0,12th Pass,41,"Rs 5,80,733 ~ 5 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,6,Alim Uddin Mazumder,IND,0,12th Pass,55,Not Available,Not Available,No
2024,ASSAM,KARIMGANJ,7,Binay Krishna Roy,IND,0,Graduate Professional,61,"Rs 84,02,223 ~ 84 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,8,Debashish Ghosh,Bangali Nabanirman Sena,0,12th Pass,36,"Rs 3,90,000 ~ 3 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,9,Debojyoti Nath,IND,0,12th Pass,51,Not Available,Not Available,No
2024,ASSAM,KARIMGANJ,10,Dilip Kumar,IND,0,Graduate,52,"Rs 75,50,122 ~ 75 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,11,Gopal Chandra Paul,IND,0,12th Pass,64,"Rs 20,71,699 ~ 20 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,12,Hafiz Rashid Ahmed Choudhury,INC,0,Post Graduate,71,Not Available,Not Available,No
2024,ASSAM,KARIMGANJ,13,Jibesh Deb,IND,0,Graduate,56,"Rs 4,91,046 ~ 4 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,15,Md. Nazrul Islam Laskar,IND,0,Post Graduate,66,Not Available,Not Available,No
2024,ASSAM,KARIMGANJ,16,Muzakkir Hasan Laskar,IND,1,Graduate,33,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,17,Prajjwal Sudip Deb,SUCI(C),0,Graduate Professional,51,"Rs 13,34,382 ~ 13 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,18,Rashid Ahmed Choudhury,IND,0,8th Pass,36,Not Available,Not Available,No
2024,ASSAM,KARIMGANJ,19,Rokibul Hussain Choudhury,IND,0,12th Pass,37,"Rs 2,90,000 ~ 2 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,20,Rosid Ahmed Laskar,IND,0,8th Pass,57,"Rs 4,64,799 ~ 4 Lacs+",Rs 0 ~,No
2024,ASSAM,KARIMGANJ,21,Safikur Rahman Hazari,IND,0,8th Pass,51,Not Available,Not Available,No
2024,ASSAM,KARIMGANJ,22,Sahabul Islam Choudhury,All India United Democratic Front,2,Post Graduate,55,"Rs 83,03,91,832 ~ 83 Crore+","Rs 25,20,16,452 ~ 25 Crore+",No
2024,ASSAM,KARIMGANJ,23,Sahel Ahmed,IND,0,12th Pass,29,"Rs 2,15,000 ~ 2 Lacs+",Rs 0 ~,No
