Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,DELHI,NEW_DELHI,2,Bansuri Swaraj,BJP,0,Post Graduate,40,"Rs 19,29,46,528 ~ 19 Crore+",Rs 0 ~,Yes
2024,DELHI,NEW_DELHI,1,Achla Jethmalani,Jindabad Kranti Party,0,Post Graduate,54,"Rs 4,18,00,000 ~ 4 Crore+",Rs 0 ~,No
2024,DELHI,NEW_DELHI,3,Dilip Singh,IND,0,Post Graduate,65,Not Available,Not Available,No
2024,DELHI,NEW_DELHI,4,Dinesh Kumar,Peoples Party of India (Democratic),0,8th Pass,54,"Rs 10,62,507 ~ 10 Lacs+",Rs 0 ~,No
2024,DELHI,NEW_DELHI,5,Hira Lal,IND,0,Graduate,61,"Rs 7,14,52,652 ~ 7 Crore+",Rs 0 ~,No
2024,DELHI,NEW_DELHI,6,Lukman Khan,Log Party,0,5th Pass,62,Not Available,Not Available,No
2024,DELHI,NEW_DELHI,7,Mahesh Kumar Denwal,Ambedkarite Party of India,0,10th Pass,49,"Rs 33,73,540 ~ 33 Lacs+","Rs 7,28,270 ~ 7 Lacs+",No
2024,DELHI,NEW_DELHI,8,Manoj Kumar Sharma,Loktantrik Janshakti Party,0,Graduate Professional,48,"Rs 2,45,96,500 ~ 2 Crore+","Rs 10,50,000 ~ 10 Lacs+",No
2024,DELHI,NEW_DELHI,9,Prem Singh,Navarang Congress Party,0,10th Pass,53,Not Available,Not Available,No
2024,DELHI,NEW_DELHI,10,Prithvi Nath Singh,Bharatiya Sampuran Krantikari Party,3,Graduate,62,"Rs 1,18,17,000 ~ 1 Crore+",Rs 0 ~,No
2024,DELHI,NEW_DELHI,11,Punam Pandey,Rashtravadi Loktantrik Party (India),2,12th Pass,49,"Rs 2,66,86,500 ~ 2 Crore+","Rs 1,10,00,000 ~ 1 Crore+",No
2024,DELHI,NEW_DELHI,12,Raaj Kumar Anand,BSP,2,Post Graduate,57,Not Available,Not Available,No
2024,DELHI,NEW_DELHI,13,Ravinder Singh,IND,0,10th Pass,46,"Rs 35,05,000 ~ 35 Lacs+",Rs 0 ~,No
2024,DELHI,NEW_DELHI,14,Sandhya Thakkar,Rashtriya Republican Party,0,Post Graduate,42,"Rs 2,40,74,798 ~ 2 Crore+","Rs 86,14,583 ~ 86 Lacs+",No
2024,DELHI,NEW_DELHI,15,Sanjay Rawat,IND,0,Graduate,50,Not Available,Not Available,No
2024,DELHI,NEW_DELHI,16,Somnath Bharti,AAP,5,Post Graduate,49,"Rs 2,23,73,059 ~ 2 Crore+","Rs 15,06,575 ~ 15 Lacs+",No
2024,DELHI,NEW_DELHI,17,Upendra,Anjaan Aadmi Party,0,Graduate Professional,36,"Rs 10,15,430 ~ 10 Lacs+","Rs 1,19,700 ~ 1 Lacs+",No
