Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,HIMACHAL PRADESH,HAMIRPUR,1,Anurag Singh Thakur,BJP,1,Graduate,50,"Rs 12,26,63,406 ~ 12 Crore+","Rs 1,43,74,994 ~ 1 Crore+",Yes
2024,HIMACHAL PRADESH,HAMIRPUR,2,Arun Ankesh Syal,Ekam Sanatan Bharat Dal,0,Graduate Professional,34,"Rs 42,601 ~ 42 Thou+","Rs 45,040 ~ 45 Thou+",No
2024,HIMACHAL PRADESH,HAMIRPUR,3,Garib Dass Katoch,IND,0,12th Pass,66,Not Available,Not Available,No
2024,HIMACHAL PRADESH,HAMIRPUR,4,Gopi Chand Attari,IND,0,Post Graduate,69,"Rs 5,38,000 ~ 5 Lacs+",Rs 0 ~,No
2024,HIMACHAL PRADESH,HAMIRPUR,5,Hem Raj,BSP,0,10th Pass,62,"Rs 64,36,836 ~ 64 Lacs+",Rs 0 ~,No
2024,HIMACHAL PRADESH,HAMIRPUR,6,Jagdeep Kumar,Rashtriya Devbhumi Party,0,Others,38,Not Available,Not Available,No
2024,HIMACHAL PRADESH,HAMIRPUR,7,Nand Lal,IND,0,10th Pass,65,"Rs 1,23,28,900 ~ 1 Crore+","Rs 3,50,000 ~ 3 Lacs+",No
2024,HIMACHAL PRADESH,HAMIRPUR,8,Ramesh Chand Sarthi,IND,1,Graduate Professional,50,"Rs 64,97,932 ~ 64 Lacs+",Rs 0 ~,No
2024,HIMACHAL PRADESH,HAMIRPUR,9,Satpal Raizada,INC,1,10th Pass,53,Not Available,Not Available,No
2024,HIMACHAL PRADESH,HAMIRPUR,10,Subedar Major Kulwant Singh Patial,Bharatheeya Jawan Kisan Party,1,10th Pass,56,"Rs 1,89,66,000 ~ 1 Crore+","Rs 13,50,000 ~ 13 Lacs+",No
2024,HIMACHAL PRADESH,HAMIRPUR,11,Sumit Rana,Akhil Bhartiya Parivar Party,0,Others,32,"Rs 24,25,000 ~ 24 Lacs+","Rs 55,00,000 ~ 55 Lacs+",No
2024,HIMACHAL PRADESH,HAMIRPUR,12,Surender Kumar Gautam,IND,0,12th Pass,53,Not Available,Not Available,No
