Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,12,Mian Altaf Ahmad,Jammu & Kashmir National Conference,0,Graduate Professional,66,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4199
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,1,Abdul Raouf Malik,IND,0,10th Pass,55,"Rs 3,23,27,353 ~ 3 Crore+","Rs 9,00,000 ~ 9 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5263
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,2,Abdul Rouf Naik,IND,0,Post Graduate,27,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5264
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,3,Ali Mohammad Wani,IND,0,Graduate,51,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5259
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,4,Arsheed Ahmed Lone,Jammu & Kashmir National Panthers Party (Bhim),0,12th Pass,28,Nil,Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4477
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,5,Baldev Kumar,IND,0,10th Pass,67,"Rs 5,40,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5260
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,6,Dilip Kumar Pandita,IND,1,12th Pass,56,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3374
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,7,Gulshan Akhter,IND,0,Post Graduate,64,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4196
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,8,Imran Sheikh,IND,20,8th Pass,37,"Rs 54,60,000 ~ 54 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3928
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,9,Imtiyaz Ahmad,National Loktantrik Party,0,12th Pass,40,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5258
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,10,Javaid Ahmed,All India Forward Bloc,0,12th Pass,43,"Rs 20,89,000 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4194
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,11,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,0,Graduate Professional,64,"Rs 75,69,867 ~ 75 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4197
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,13,Mohamad Saleem Paray,Democratic Progressive Azad Party,0,Graduate Professional,40,"Rs 1,51,88,507 ~ 1 Crore+","Rs 21,98,300 ~ 21 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4480
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,14,Mohammad Maqbool Teli,Garib Democratic Party,0,8th Pass,61,"Rs 68,08,669 ~ 68 Lacs+","Rs 3,60,000 ~ 3 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4475
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,15,Ravinder Singh,IND,0,Illiterate,49,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5261
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,16,Sajad Ahmad Dar,IND,1,12th Pass,33,"Rs 4,52,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4195
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,17,Sheikh Muzafar Ahmed,Jammu and Kashmir Nationalist Peoples Front,0,Graduate Professional,62,"Rs 85,95,000 ~ 85 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3503
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,18,Sudarshan Singh,National Awami United Party,0,10th Pass,57,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4479
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,19,Sushil Kumar Sharma,IND,0,12th Pass,31,"Rs 50,000 ~ 50 Thou+","Rs 14,40,000 ~ 14 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5262
2024,JAMMU AND KASHMIR,ANANTNAG_RAJOURI,20,Zafar Iqbal Khan Manhas,Jammu and Kashmir Apni Party,0,Post Graduate,70,"Rs 1,29,34,768 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4198
