Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,JHARKHAND,LOHARDAGA,15,Sukhdeo Bhagat,INC,1,Post Graduate,63,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6277
2024,JHARKHAND,LOHARDAGA,1,Arjun Toppo,IND,0,12th Pass,47,"Rs 49,52,000 ~ 49 Lacs+","Rs 5,50,000 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6279
2024,JHARKHAND,LOHARDAGA,2,Arpan Deo Bhagat,IND,0,Post Graduate,34,"Rs 6,33,285 ~ 6 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6276
2024,JHARKHAND,LOHARDAGA,3,Bihari Bhagat,Peoples Party of India (Democratic),1,Graduate,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6283
2024,JHARKHAND,LOHARDAGA,4,Chamra Linda,IND,1,Graduate,54,"Rs 2,84,79,905 ~ 2 Crore+","Rs 50,19,989 ~ 50 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6278
2024,JHARKHAND,LOHARDAGA,5,Girjanandan Uraon,BSP,0,10th Pass,48,"Rs 3,91,000 ~ 3 Lacs+","Rs 1,67,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6282
2024,JHARKHAND,LOHARDAGA,6,Mahendra Oraon,CPI,0,12th Pass,45,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5155
2024,JHARKHAND,LOHARDAGA,7,Mani Munda,Bhagidari Party(P),0,10th Pass,59,"Rs 1,09,55,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6280
2024,JHARKHAND,LOHARDAGA,8,Marianus Tigga,IND,0,Graduate,63,"Rs 1,18,95,000 ~ 1 Crore+","Rs 46,18,000 ~ 46 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6292
2024,JHARKHAND,LOHARDAGA,9,Pawan Tigga,IND,0,10th Pass,41,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6293
2024,JHARKHAND,LOHARDAGA,10,Ramchandra Bhagat,Lokhit Adhikar Party,1,10th Pass,56,"Rs 4,51,400 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6281
2024,JHARKHAND,LOHARDAGA,11,Ranjeet Bhagat,IND,0,Graduate Professional,36,"Rs 25,50,000 ~ 25 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6275
2024,JHARKHAND,LOHARDAGA,12,Samir Oraon,BJP,1,12th Pass,53,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5304
2024,JHARKHAND,LOHARDAGA,13,Shaniya Oraon,IND,1,8th Pass,55,"Rs 7,67,058 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6291
2024,JHARKHAND,LOHARDAGA,14,Stephan Kindo,IND,0,8th Pass,63,"Rs 43,50,000 ~ 43 Lacs+","Rs 50,000 ~ 50 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6284
