Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,JHARKHAND,RANCHI,22,Sanjay Seth,BJP,2,Graduate Professional,65,"Rs 2,41,52,085 ~ 2 Crore+","Rs 32,44,306 ~ 32 Lacs+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8561
2024,JHARKHAND,RANCHI,1,Ainul Ansari,IND,2,Others,35,"Rs 63,33,576 ~ 63 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8709
2024,JHARKHAND,RANCHI,2,Anjani Pandey,IND,0,Graduate Professional,66,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8726
2024,JHARKHAND,RANCHI,3,Arshad Ayub,IND,0,5th Pass,53,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8721
2024,JHARKHAND,RANCHI,4,Binod Oraon,Bahujan Mukti Party,0,12th Pass,32,"Rs 35,02,000 ~ 35 Lacs+","Rs 60,000 ~ 60 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8702
2024,JHARKHAND,RANCHI,5,Birendra Nath Manjhi,Abua Jharkhand Party,0,12th Pass,62,"Rs 49,78,754 ~ 49 Lacs+","Rs 1,24,160 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8704
2024,JHARKHAND,RANCHI,6,Devendra Nath Mahto,IND,11,Post Graduate,33,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8720
2024,JHARKHAND,RANCHI,7,Dhananjay Bhagat “Gandhi“,Mera Adhikaar Rashtriya Dal,0,Graduate Professional,40,"Rs 5,06,932 ~ 5 Lacs+","Rs 1,05,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8725
2024,JHARKHAND,RANCHI,8,Dharmendra Tiwary,Bhartiya Jantantra Morcha,1,Post Graduate,63,"Rs 9,06,94,064 ~ 9 Crore+","Rs 23,22,845 ~ 23 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8715
2024,JHARKHAND,RANCHI,9,Harinath Sahu,Lokhit Adhikar Party,1,12th Pass,47,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8706
2024,JHARKHAND,RANCHI,10,Hemnti Devi,Samata Party,0,8th Pass,38,"Rs 93,90,000 ~ 93 Lacs+","Rs 14,00,000 ~ 14 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8703
2024,JHARKHAND,RANCHI,11,Kameshwar Prasad Saw,IND,0,Others,73,"Rs 4,13,933 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8717
