Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,KERALA,KANNUR,6,K. Sudhakaran,INC,14,Post Graduate,75,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2279
2024,KERALA,KANNUR,1,C. Balakrishnan Yadav,IND,0,Post Graduate,63,"Rs 1,59,72,044 ~ 1 Crore+","Rs 3,42,685 ~ 3 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2281
2024,KERALA,KANNUR,2,C. Raghunath,BJP,2,Post Graduate,67,"Rs 1,89,07,626 ~ 1 Crore+","Rs 1,05,70,777 ~ 1 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2283
2024,KERALA,KANNUR,3,Jayaraj S/O Narayanan,IND,0,8th Pass,39,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3098
2024,KERALA,KANNUR,4,Jayarajan S/O Velayudhan,IND,0,8th Pass,61,"Rs 2,47,265 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3099
2024,KERALA,KANNUR,5,Joy John Pattar Madathil,IND,0,Post Graduate,69,"Rs 1,18,61,619 ~ 1 Crore+","Rs 7,00,000 ~ 7 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3100
2024,KERALA,KANNUR,7,K. Sudhakaran S/O. Krishnan,IND,0,10th Pass,61,"Rs 29,58,090 ~ 29 Lacs+","Rs 9,80,610 ~ 9 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3101
2024,KERALA,KANNUR,8,M.V. Jayarajan,CPI(M),9,Graduate Professional,63,"Rs 1,44,48,542 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2284
2024,KERALA,KANNUR,9,Narayana Kumar,IND,0,10th Pass,62,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2282
2024,KERALA,KANNUR,10,Ramachandran Bavileeri,Bharatheeya Jawan Kisan Party,0,Graduate,61,"Rs 1,99,75,823 ~ 1 Crore+","Rs 21,64,588 ~ 21 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2278
2024,KERALA,KANNUR,11,Sudhakaran. K S/O. P Gopalan,IND,0,10th Pass,61,"Rs 32,20,952 ~ 32 Lacs+","Rs 50,000 ~ 50 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3102
2024,KERALA,KANNUR,12,Vadi Hareendran,IND,0,10th Pass,62,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2280
