Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,MADHYA PRADESH,INDORE,14,Shankar Lalwani,BJP,0,Graduate Professional,62,"Rs 1,95,22,412 ~ 1 Crore+","Rs 10,09,835 ~ 10 Lacs+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5163
2024,MADHYA PRADESH,INDORE,1,Abhay Jain,IND,0,Graduate Professional,60,"Rs 56,20,000 ~ 56 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6391
2024,MADHYA PRADESH,INDORE,2,Advocate Pankaj Gupte,IND,0,Graduate Professional,51,"Rs 1,70,209 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6384
2024,MADHYA PRADESH,INDORE,3,Ayaz Ali,IND,0,12th Pass,37,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6393
2024,MADHYA PRADESH,INDORE,4,Basant Gehlot,Jan Sangh Party,0,Graduate,56,"Rs 3,45,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6396
2024,MADHYA PRADESH,INDORE,5,Comrade Ajeet Singh,SUCI(C),0,Post Graduate,38,"Rs 38,020 ~ 38 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5166
2024,MADHYA PRADESH,INDORE,6,Desh Bhakt Ankit Gupta,IND,0,Graduate,33,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6385
2024,MADHYA PRADESH,INDORE,7,Eng. Arjun Parihar,IND,0,Graduate Professional,31,"Rs 1,84,100 ~ 1 Lacs+","Rs 72,000 ~ 72 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6386
2024,MADHYA PRADESH,INDORE,8,Lavish Dilip Khandelwal,IND,0,Graduate,29,"Rs 65,000 ~ 65 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6399
2024,MADHYA PRADESH,INDORE,9,Mudit Chaurasia,IND,0,Others,39,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6389
2024,MADHYA PRADESH,INDORE,10,Parmanand Tolani,IND,0,10th Pass,63,"Rs 27,07,200 ~ 27 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6400
2024,MADHYA PRADESH,INDORE,11,Pawan Kumar,Akhil Bhartiya Parivar Party,0,Graduate Professional,46,"Rs 1,82,97,104 ~ 1 Crore+","Rs 51,29,216 ~ 51 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6392
2024,MADHYA PRADESH,INDORE,12,Ravi Sirwaiya,IND,0,12th Pass,41,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6398
2024,MADHYA PRADESH,INDORE,13,Sanjay S/O Lakshman Solanki,BSP,0,Graduate,43,"Rs 52,45,000 ~ 52 Lacs+","Rs 3,58,000 ~ 3 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5164
