Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,MADHYA PRADESH,KHAJURAHO,14,Vishnu Datt Sharma (V.D.Sharma),BJP,1,Post Graduate,54,"Rs 4,92,62,858 ~ 4 Crore+","Rs 1,84,38,272 ~ 1 Crore+",Yes
2024,MADHYA PRADESH,KHAJURAHO,1,Bitiaya Ahirwar,IND,0,Illiterate,54,"Rs 10,86,600 ~ 10 Lacs+",Rs 0 ~,No
2024,MADHYA PRADESH,KHAJURAHO,2,Firoj Khan,IND,3,12th Pass,52,"Rs 75,61,086 ~ 75 Lacs+","Rs 1,27,000 ~ 1 Lacs+",No
2024,MADHYA PRADESH,KHAJURAHO,3,Giran Singh,Bhartiya Shakti Chetna Party,0,Not Given,56,Not Available,Not Available,No
2024,MADHYA PRADESH,KHAJURAHO,4,Kamlesh Kumar,BSP,0,12th Pass,50,"Rs 92,10,000 ~ 92 Lacs+","Rs 10,00,000 ~ 10 Lacs+",No
2024,MADHYA PRADESH,KHAJURAHO,5,Kapil Gupta Bhartiya,Akhil Bhartiya Parivar Party,0,Post Graduate,35,"Rs 12,26,000 ~ 12 Lacs+","Rs 3,08,000 ~ 3 Lacs+",No
2024,MADHYA PRADESH,KHAJURAHO,6,Keshkali,Rashtriya Jansanchar Dal,0,5th Pass,38,Not Available,Not Available,No
2024,MADHYA PRADESH,KHAJURAHO,7,Laxmi Prasad,IND,0,Literate,66,"Rs 47,95,000 ~ 47 Lacs+",Rs 0 ~,No
2024,MADHYA PRADESH,KHAJURAHO,8,Mohammad Imran,Rashtriya Jansambhavna Party,2,Graduate Professional,39,"Rs 9,30,000 ~ 9 Lacs+",Rs 0 ~,No
2024,MADHYA PRADESH,KHAJURAHO,9,Nand Kishor,Peoples Party of India (Democratic),0,12th Pass,45,Not Available,Not Available,No
2024,MADHYA PRADESH,KHAJURAHO,10,Pankaj Maurya (Kushwaha),Gondvana Gantantra Party,0,Post Graduate,35,"Rs 11,32,500 ~ 11 Lacs+",Rs 0 ~,No
2024,MADHYA PRADESH,KHAJURAHO,11,Panna Lal Tripathi,Indian Peoples Adhikar Party,0,Literate,53,"Rs 1,07,25,000 ~ 1 Crore+",Rs 0 ~,No
2024,MADHYA PRADESH,KHAJURAHO,12,Penter Sunman Singh Lodhi,IND,4,10th Pass,37,Not Available,Not Available,No
2024,MADHYA PRADESH,KHAJURAHO,13,R. B. Prajapati (Raja Bhaiya),All India Forward Bloc,0,Post Graduate,64,"Rs 2,37,03,002 ~ 2 Crore+",Rs 0 ~,No
