Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,MADHYA PRADESH,KHANDWA,2,Gyaneshwar Patil,BJP,1,12th Pass,55,"Rs 7,22,37,099 ~ 7 Crore+","Rs 54,46,068 ~ 54 Lacs+",Yes
2024,MADHYA PRADESH,KHANDWA,1,Abhinesh Singh,Rashtriya Jan Awaz Party,0,Post Graduate,48,"Rs 71,000 ~ 71 Thou+",Rs 0 ~,No
2024,MADHYA PRADESH,KHANDWA,3,Laxmi Narayan Katare,IND,2,10th Pass,54,Not Available,Not Available,No
2024,MADHYA PRADESH,KHANDWA,4,Mahesh Pawar,Peoples Party of India (Democratic),0,Post Graduate,47,"Rs 25,94,647 ~ 25 Lacs+","Rs 6,50,000 ~ 6 Lacs+",No
2024,MADHYA PRADESH,KHANDWA,5,Manoj Kumar Vishwambharnath Agrawal,IND,0,Graduate Professional,58,"Rs 7,49,11,070 ~ 7 Crore+","Rs 40,00,000 ~ 40 Lacs+",No
2024,MADHYA PRADESH,KHANDWA,6,Munnalal S/O Dhannalal Teji,BSP,0,12th Pass,65,Not Available,Not Available,No
2024,MADHYA PRADESH,KHANDWA,7,Narayan Sukhadev Pal,Bharatiya Yuva Jan Ekta Party,0,Post Graduate,62,"Rs 1,52,000 ~ 1 Lacs+",Rs 0 ~,No
2024,MADHYA PRADESH,KHANDWA,8,Narendra Patel,INC,1,10th Pass,62,"Rs 3,36,81,610 ~ 3 Crore+","Rs 7,13,236 ~ 7 Lacs+",No
2024,MADHYA PRADESH,KHANDWA,9,Prakash Rathor Banjara,Aam Janta Party (India),3,5th Pass,39,Not Available,Not Available,No
2024,MADHYA PRADESH,KHANDWA,10,Ravindra Sonvane,IND,0,Literate,47,"Rs 94,63,619 ~ 94 Lacs+","Rs 6,00,000 ~ 6 Lacs+",No
2024,MADHYA PRADESH,KHANDWA,11,Shivam Sen,IND,0,12th Pass,30,"Rs 1,20,000 ~ 1 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
