Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,MAHARASHTRA,AMRAVATI,6,Balwant Baswant Wankhade,INC,1,12th Pass,56,Not Available,Not Available,Yes
2024,MAHARASHTRA,AMRAVATI,1,Adv. Pruthvisamrat Mukindrao Dipwansh,IND,0,Graduate Professional,29,"Rs 1,400 ~ 1 Thou+",Rs 0 ~,No
2024,MAHARASHTRA,AMRAVATI,2,Adv. Raju Madhukarrao Kalane,Bahujan Bharat Party,2,Graduate Professional,31,"Rs 41,500 ~ 41 Thou+","Rs 29,000 ~ 29 Thou+",No
2024,MAHARASHTRA,AMRAVATI,3,Anandraj Yashwant Ambedkar,Republican Sena,3,Post Graduate,63,Not Available,Not Available,No
2024,MAHARASHTRA,AMRAVATI,4,Anil Thaware Alias Dr. Anilkumar Nagbuddha,IND,2,Others,56,"Rs 45,90,000 ~ 45 Lacs+","Rs 5,25,000 ~ 5 Lacs+",No
2024,MAHARASHTRA,AMRAVATI,5,Arun Yashwantrao Bhagat,IND,0,Post Graduate,76,"Rs 93,89,878 ~ 93 Lacs+","Rs 6,000 ~ 6 Thou+",No
2024,MAHARASHTRA,AMRAVATI,7,Bharat Champatrao Yangad,IND,0,Post Graduate,62,"Rs 6,21,099 ~ 6 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,AMRAVATI,8,Bhaurao Sampatrao Wankhade,All India Forward Bloc,1,5th Pass,69,"Rs 6,26,997 ~ 6 Lacs+","Rs 3,52,000 ~ 3 Lacs+",No
2024,MAHARASHTRA,AMRAVATI,9,Digambar Waman Bhagat,Naki Bharatiya Ekta Party,0,10th Pass,68,Not Available,Not Available,No
2024,MAHARASHTRA,AMRAVATI,10,Dinesh Ganeshdas Bub,Prahar Janshakti Party,4,12th Pass,52,"Rs 5,71,62,498 ~ 5 Crore+",Rs 0 ~,No
2024,MAHARASHTRA,AMRAVATI,11,Engi. Avinash Harishchandra Dhanawate,Peoples Party of India (Democratic),0,Graduate Professional,67,"Rs 1,20,91,877 ~ 1 Crore+",Rs 0 ~,No
2024,MAHARASHTRA,AMRAVATI,12,Ganesh Nanaji Ramteke,Akhil Bhartiya Parivar Party,0,Post Graduate,46,Not Available,Not Available,No
2024,MAHARASHTRA,AMRAVATI,13,Gautam Alias Ananta Ramdas Ingale,IND,0,8th Pass,40,"Rs 2,02,50,390 ~ 2 Crore+","Rs 12,33,000 ~ 12 Lacs+",No
2024,MAHARASHTRA,AMRAVATI,14,Ghazi Saaduddin Zaheer Ahmed,Rashtriya Ulama Council,1,12th Pass,51,"Rs 1,11,00,000 ~ 1 Crore+","Rs 2,80,000 ~ 2 Lacs+",No
2024,MAHARASHTRA,AMRAVATI,15,Himmat Bhimrao Dhole,IND,0,Graduate Professional,52,Not Available,Not Available,No
2024,MAHARASHTRA,AMRAVATI,16,Kishor Bhimrao Labade,IND,0,8th Pass,42,Nil,Rs 0 ~,No
2024,MAHARASHTRA,AMRAVATI,17,Kishor Dnyaneshwar Tayde,IND,0,10th Pass,41,"Rs 14,40,000 ~ 14 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,AMRAVATI,18,Mankar Dnyaneshwar Kashirao,IND,0,10th Pass,62,Not Available,Not Available,No
2024,MAHARASHTRA,AMRAVATI,19,Manohar Krushnaji Kurhade,IND,0,Post Graduate,59,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,AMRAVATI,20,Narendra Babulal Kathane,Desh Janhit Party,0,12th Pass,41,"Rs 1,17,000 ~ 1 Lacs+","Rs 40,000 ~ 40 Thou+",No
2024,MAHARASHTRA,AMRAVATI,21,Navneet Ravi Rana,BJP,4,10th Pass,38,Not Available,Not Available,No
2024,MAHARASHTRA,AMRAVATI,22,Prabhakar Pandurang Bhatkar,IND,0,Post Graduate,62,"Rs 2,25,35,573 ~ 2 Crore+",Rs 0 ~,No
2024,MAHARASHTRA,AMRAVATI,23,Pramod Ramkrushna Chourpagar,IND,0,Graduate,55,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No
