Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,MAHARASHTRA,BHANDARA_GONDIYA,6,Dr. Prashant Yadaorao Padole,INC,0,Graduate Professional,45,Not Available,Not Available,Yes
2024,MAHARASHTRA,BHANDARA_GONDIYA,1,Ajaykumar Bhartiya,Akhil Bhartiya Parivar Party,0,Post Graduate,52,"Rs 92,86,757 ~ 92 Lacs+","Rs 7,00,000 ~ 7 Lacs+",No
2024,MAHARASHTRA,BHANDARA_GONDIYA,2,Beniram Ramchand Fulbandhe,IND,0,12th Pass,35,"Rs 13,13,000 ~ 13 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,3,Chaitram Dasharath Kokase,IND,0,10th Pass,63,Not Available,Not Available,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,4,Devilal Sukhram Nepale,Peoples Party of India (Democratic),0,Post Graduate,58,"Rs 1,89,66,000 ~ 1 Crore+","Rs 43,00,000 ~ 43 Lacs+",No
2024,MAHARASHTRA,BHANDARA_GONDIYA,5,Dr. Akash Madhukar Jibhakate,IND,0,Graduate Professional,26,"Rs 7,75,071 ~ 7 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,7,Itwale Sharad Martand,IND,0,Graduate,39,"Rs 17,10,000 ~ 17 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,8,Kumbhalkar Sanjay Bhaiyy,BSP,4,12th Pass,52,"Rs 5,35,65,000 ~ 5 Crore+",Rs 0 ~,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,9,Pradeep Dhobale,IND,0,Post Graduate,57,Not Available,Not Available,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,10,Sanjay Gajanan Kewat,Vanchit Bahujan Aaghadi,0,Graduate,47,"Rs 34,45,000 ~ 34 Lacs+","Rs 58,500 ~ 58 Thou+",No
2024,MAHARASHTRA,BHANDARA_GONDIYA,11,Sewakbhau Nirdhan Waghaye,IND,0,Post Graduate,58,"Rs 15,78,13,517 ~ 15 Crore+","Rs 50,83,015 ~ 50 Lacs+",No
2024,MAHARASHTRA,BHANDARA_GONDIYA,12,Sumit Vijay Pande,IND,0,Graduate Professional,43,Not Available,Not Available,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,13,Sunil Baburao Mendhe,BJP,1,Others,55,"Rs 59,27,50,783 ~ 59 Crore+","Rs 8,36,62,345 ~ 8 Crore+",No
2024,MAHARASHTRA,BHANDARA_GONDIYA,14,Suryakiran Ishwar Nandagawali,IND,0,8th Pass,43,"Rs 25,90,000 ~ 25 Lacs+","Rs 1,26,000 ~ 1 Lacs+",No
2024,MAHARASHTRA,BHANDARA_GONDIYA,15,Tulsiram Urkuda Gedam,IND,0,Graduate,56,Not Available,Not Available,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,16,Vilas Baburao Lende,Lok Swarajya Party,0,Graduate,51,"Rs 4,91,000 ~ 4 Lacs+","Rs 3,50,000 ~ 3 Lacs+",No
2024,MAHARASHTRA,BHANDARA_GONDIYA,17,Vilas Jiyalal Raut,IND,0,12th Pass,50,"Rs 1,47,99,000 ~ 1 Crore+",Rs 0 ~,No
2024,MAHARASHTRA,BHANDARA_GONDIYA,18,Virendrakumar Kasturchand Jaiswal,IND,0,Graduate Professional,68,Not Available,Not Available,No
