Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,MAHARASHTRA,CHANDRAPUR,4,Dhanorkar Pratibha Suresh Alias Balubhau,INC,0,12th Pass,38,"Rs 80,37,22,094 ~ 80 Crore+","Rs 55,23,86,611 ~ 55 Crore+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=300
2024,MAHARASHTRA,CHANDRAPUR,1,Ashok Ranaji Rathod,Jay Vidarbha Party,0,12th Pass,62,"Rs 2,70,12,522 ~ 2 Crore+","Rs 15,00,000 ~ 15 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=301
2024,MAHARASHTRA,CHANDRAPUR,2,Awachit Shamrao Sayam,Janseva Gondwana Party,0,Graduate,63,"Rs 8,32,96,294 ~ 8 Crore+","Rs 32,52,014 ~ 32 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=306
2024,MAHARASHTRA,CHANDRAPUR,3,Bele Rajesh Warluji,Vanchit Bahujan Aaghadi,1,10th Pass,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=515
2024,MAHARASHTRA,CHANDRAPUR,5,Diwakar Hariji Urade,IND,1,Doctorate,55,"Rs 73,29,897 ~ 73 Lacs+","Rs 46,00,000 ~ 46 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=507
2024,MAHARASHTRA,CHANDRAPUR,6,Milind Pralhad Dahiwale,IND,0,12th Pass,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=516
2024,MAHARASHTRA,CHANDRAPUR,7,Mungantiwar Sudhir Sacchidanand,BJP,2,Post Graduate,61,"Rs 17,65,64,907 ~ 17 Crore+","Rs 5,41,95,388 ~ 5 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=304
2024,MAHARASHTRA,CHANDRAPUR,8,Namdeo Manikrao Shedmake,Gondvana Gantantra Party,0,10th Pass,56,"Rs 8,98,000 ~ 8 Lacs+","Rs 8,24,000 ~ 8 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=511
2024,MAHARASHTRA,CHANDRAPUR,9,Purnima Dilip Ghonmode,Bahujan Republican Socialist Party,0,Doctorate,47,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1722
2024,MAHARASHTRA,CHANDRAPUR,10,Rajendra Harishchandra Ramteke,BSP,0,Others,47,"Rs 2,77,808 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=512
2024,MAHARASHTRA,CHANDRAPUR,11,Sanjay Nilkanth Gawande,IND,1,12th Pass,60,"Rs 5,80,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=508
2024,MAHARASHTRA,CHANDRAPUR,12,Sewakdas Kawduji Barke,Peoples Party of India (Democratic),0,12th Pass,56,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=514
2024,MAHARASHTRA,CHANDRAPUR,13,Vanita Jitendra Raut,Akhil Bharatiya Manavata Paksha,0,8th Pass,42,"Rs 2,08,131 ~ 2 Lacs+","Rs 17,932 ~ 17 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=510
2024,MAHARASHTRA,CHANDRAPUR,14,Vidyasagar Kalidas Kasarlawar,Bhim Sena,0,10th Pass,69,"Rs 23,00,000 ~ 23 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=513
2024,MAHARASHTRA,CHANDRAPUR,15,Vikas Uttamrao Lasante,Sanman Rajkiya Paksha,0,10th Pass,39,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=509
