Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,MAHARASHTRA,JALNA,15,Kalyan Vaijinathrao Kale,INC,2,Others,61,Not Available,Not Available,Yes
2024,MAHARASHTRA,JALNA,1,Abdul Rafiq Abdul Latif,IND,0,Literate,55,"Rs 1,06,000 ~ 1 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,JALNA,2,Adv. Yogesh Dattu Gullapelli,IND,0,Post Graduate,34,"Rs 17,14,301 ~ 17 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,JALNA,3,Ahmad Rahim Saikh Bagwan,IND,0,12th Pass,53,Not Available,Not Available,No
2024,MAHARASHTRA,JALNA,4,Ajhar Anwar Sayyad,IND,0,Post Graduate,27,"Rs 21,05,858 ~ 21 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,JALNA,5,Babasaheb Patil Shinde,IND,0,10th Pass,67,"Rs 6,06,000 ~ 6 Lacs+","Rs 1,39,430 ~ 1 Lacs+",No
2024,MAHARASHTRA,JALNA,6,Babasaheb Santukrao Shelke,Samata Party,0,Graduate,67,Not Available,Not Available,No
2024,MAHARASHTRA,JALNA,7,Bakale Prabhakar Devgan,Vanchit Bahujan Aaghadi,1,10th Pass,51,"Rs 27,44,744 ~ 27 Lacs+","Rs 12,500 ~ 12 Thou+",No
2024,MAHARASHTRA,JALNA,8,Bhagwan Sahebrao Regude,Hindustan Janta Party,0,Graduate Professional,57,"Rs 64,00,000 ~ 64 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,JALNA,9,Chabukswar Rahul Niranjan,IND,1,Post Graduate,37,Not Available,Not Available,No
2024,MAHARASHTRA,JALNA,10,Danve Raosaheb Dadarao,BJP,1,Graduate,69,"Rs 42,60,30,651 ~ 42 Crore+","Rs 7,48,77,318 ~ 7 Crore+",No
2024,MAHARASHTRA,JALNA,11,Dhananjay Rupraoji Kakde (Patil),Bharatheeya Jawan Kisan Party,0,12th Pass,68,"Rs 91,20,000 ~ 91 Lacs+","Rs 7,90,000 ~ 7 Lacs+",No
2024,MAHARASHTRA,JALNA,12,Dipak Bhimrao Borhade,Samnak Janta Party,3,12th Pass,40,Not Available,Not Available,No
2024,MAHARASHTRA,JALNA,13,Dnyaneshwar Dagduji Nade,IND,1,8th Pass,57,"Rs 2,81,784 ~ 2 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,JALNA,14,Kaduba Mhatarba Ingle,IND,0,12th Pass,52,"Rs 55,61,000 ~ 55 Lacs+","Rs 15,00,000 ~ 15 Lacs+",No
2024,MAHARASHTRA,JALNA,16,Kamble Maroti Dasharath,IND,0,12th Pass,51,"Rs 17,72,000 ~ 17 Lacs+","Rs 70,692 ~ 70 Thou+",No
2024,MAHARASHTRA,JALNA,17,Mangesh Sanjay Sable,IND,6,Graduate,26,"Rs 23,77,000 ~ 23 Lacs+","Rs 10,90,000 ~ 10 Lacs+",No
2024,MAHARASHTRA,JALNA,18,Manoj Neminath Kolte,IND,0,12th Pass,40,Not Available,Not Available,No
2024,MAHARASHTRA,JALNA,19,Mukesh Prabhat Rathod,Akhil Bhartiya Parivar Party,2,Others,30,"Rs 2,57,100 ~ 2 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,JALNA,20,Nivrutti Vishwnath Bansode,BSP,0,Graduate Professional,52,"Rs 44,26,841 ~ 44 Lacs+","Rs 8,00,000 ~ 8 Lacs+",No
2024,MAHARASHTRA,JALNA,21,Rajendra Namdeo Magre,IND,0,12th Pass,39,Not Available,Not Available,No
2024,MAHARASHTRA,JALNA,22,Ratan Asaram Landge,IND,0,5th Pass,42,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2024,MAHARASHTRA,JALNA,23,Sham Pawals Rupekar,IND,0,Literate,51,"Rs 27,40,869 ~ 27 Lacs+","Rs 1,35,600 ~ 1 Lacs+",No
2024,MAHARASHTRA,JALNA,24,Shyam Rustumrao Shirsath,Bahujan Republican Socialist Party,0,Post Graduate,36,Not Available,Not Available,No
2024,MAHARASHTRA,JALNA,25,Tanaji Tukaram Bhojane,IND,0,Graduate Professional,35,"Rs 37,63,218 ~ 37 Lacs+","Rs 26,70,729 ~ 26 Lacs+",No
2024,MAHARASHTRA,JALNA,26,Vikas Chhagan Lahane,IND,1,Graduate,42,"Rs 18,54,000 ~ 18 Lacs+","Rs 12,50,000 ~ 12 Lacs+",No
