Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,MAHARASHTRA,KOLHAPUR,3,Chhatrapati Shahu Shahaji,INC,1,Graduate,76,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3847
2024,MAHARASHTRA,KOLHAPUR,1,Adv. Yash Suhas Hegdepatil,IND,0,Post Graduate,28,"Rs 3,39,874 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4856
2024,MAHARASHTRA,KOLHAPUR,2,B. T. Patil (Ex Serviceman),Bharatheeya Jawan Kisan Party,0,Graduate,56,"Rs 19,04,785 ~ 19 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4863
2024,MAHARASHTRA,KOLHAPUR,4,Dr. Sunil Namdev Patil,National Black Panther Party,1,Graduate Professional,49,"Rs 3,89,37,313 ~ 3 Crore+","Rs 26,00,000 ~ 26 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4865
2024,MAHARASHTRA,KOLHAPUR,5,Irfan Abutalib Chand,IND,0,Others,41,Rs 100 ~ 1 Hund+,Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4852
2024,MAHARASHTRA,KOLHAPUR,6,Khade Bajirao Nanaso,IND,1,Post Graduate,51,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4858
2024,MAHARASHTRA,KOLHAPUR,7,Kogale Sandeep Bhairavnath,Desh Janhit Party,0,Post Graduate,38,"Rs 47,41,943 ~ 47 Lacs+","Rs 3,417 ~ 3 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4871
2024,MAHARASHTRA,KOLHAPUR,8,Krushna Hanmant Desai,IND,0,12th Pass,55,"Rs 12,06,103 ~ 12 Lacs+","Rs 1,30,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4867
2024,MAHARASHTRA,KOLHAPUR,9,Krushnabai Dipak Chougale,IND,0,Graduate,36,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4855
2024,MAHARASHTRA,KOLHAPUR,10,Kudartulla Adam Latif,IND,0,Graduate,50,"Rs 36,06,500 ~ 36 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4849
2024,MAHARASHTRA,KOLHAPUR,11,Madhuri Raju Jadhav,IND,0,8th Pass,41,"Rs 8,30,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4857
2024,MAHARASHTRA,KOLHAPUR,12,Mane Arvind Bhiva,Bhartiya Rashtriya Dal,0,12th Pass,57,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4860
2024,MAHARASHTRA,KOLHAPUR,13,Mangesh Jaysingh Patil,IND,0,12th Pass,48,"Rs 1,32,456 ~ 1 Lacs+","Rs 90,000 ~ 90 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4850
