Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,15,Ravindra Dattaram Waikar,Shiv Sena,3,Graduate,65,Not Available,Not Available,Yes
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,1,Adv Mitesh Varshney,Bhim Sena,0,Post Graduate,32,"Rs 5,04,133 ~ 5 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,2,Adv. Lata Pandurang Shinde,IND,0,Graduate Professional,42,"Rs 61,30,000 ~ 61 Lacs+","Rs 29,08,351 ~ 29 Lacs+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,3,Adv. Sanjeevkumar Apparav Kalkori,IND,0,Graduate Professional,33,Not Available,Not Available,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,4,Advocate Kapil Kantilal Soni,IND,0,Post Graduate,45,"Rs 48,216 ~ 48 Thou+","Rs 97,200 ~ 97 Thou+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,5,Amol Gajanan Kirtikar,ShivSena (Uddhav Balasaheb Thackeray),0,12th Pass,52,"Rs 11,77,04,472 ~ 11 Crore+","Rs 1,55,19,526 ~ 1 Crore+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,6,Arora Surinder Mohan,Bharat Jan Aadhar Party,0,Graduate,69,Not Available,Not Available,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,7,Bala Venkatesh Vinayak Nadar,Aapki Apni Party (Peoples),0,Graduate Professional,32,"Rs 64,00,595 ~ 64 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,8,Bharat Khimji Shah,Hindu Samaj Party,1,12th Pass,53,"Rs 4,18,06,566 ~ 4 Crore+",Rs 0 ~,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,9,Gajanan Tukaram Sonkamble,IND,0,Graduate,38,Not Available,Not Available,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,10,Harishankar Yadav,Samaj Vikas Kranti Party,0,10th Pass,55,"Rs 55,90,000 ~ 55 Lacs+","Rs 55,000 ~ 55 Thou+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,11,Hruda Dhananjay Shinde,IND,0,Graduate Professional,28,"Rs 2,15,61,200 ~ 2 Crore+","Rs 1,89,000 ~ 1 Lacs+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,12,Manoj Shravan Nayak,Right to Recall Party,0,10th Pass,49,Not Available,Not Available,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,13,Parmeshwar Ashok Ranshur,Vanchit Bahujan Aaghadi,2,8th Pass,36,"Rs 1,19,32,601 ~ 1 Crore+","Rs 72,55,000 ~ 72 Lacs+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,14,Rajesh Ramkisan Mallah,BSP,1,8th Pass,43,"Rs 87,000 ~ 87 Thou+",Rs 0 ~,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,16,Rohan Satone,IND,0,Post Graduate,33,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,17,Sameer More,IND,0,Graduate,38,"Rs 37,35,213 ~ 37 Lacs+","Rs 21,78,150 ~ 21 Lacs+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,18,Santosh Manik Rayban,IND,0,12th Pass,43,Not Available,Not Available,No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,19,Sarika Dabral,India Greens Party,0,Post Graduate,48,"Rs 37,87,363 ~ 37 Lacs+","Rs 71,977 ~ 71 Thou+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,20,Sunil Bhima Chavan,IND,0,Post Graduate,40,"Rs 8,10,23,557 ~ 8 Crore+","Rs 1,98,95,356 ~ 1 Crore+",No
2024,MAHARASHTRA,MUMBAI_NORTH___WEST,21,Sushma Dayanand Mehta,IND,1,10th Pass,42,Not Available,Not Available,No
