Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,MAHARASHTRA,NANDURBAR,1,Adv Gowaal Kagada Padavi,INC,0,Post Graduate,31,"Rs 7,01,70,431 ~ 7 Crore+","Rs 78,17,614 ~ 78 Lacs+",Yes
2024,MAHARASHTRA,NANDURBAR,2,Ananda Sukalal Koli,BSP,0,5th Pass,56,"Rs 5,00,000 ~ 5 Lacs+","Rs 65,700 ~ 65 Thou+",No
2024,MAHARASHTRA,NANDURBAR,3,Deepakkumar Madhukar Shirsath,IND,0,Post Graduate,40,Not Available,Not Available,No
2024,MAHARASHTRA,NANDURBAR,4,Dr Heena Vijaykumar Gavit,BJP,0,Post Graduate,35,"Rs 6,20,37,025 ~ 6 Crore+","Rs 2,54,95,502 ~ 2 Crore+",No
2024,MAHARASHTRA,NANDURBAR,5,Gitanjali Shashikant Koli,IND,0,12th Pass,46,"Rs 3,04,550 ~ 3 Lacs+","Rs 2,80,000 ~ 2 Lacs+",No
2024,MAHARASHTRA,NANDURBAR,6,Hemant Mansaram Koli,Vanchit Bahujan Aaghadi,1,Graduate,39,Not Available,Not Available,No
2024,MAHARASHTRA,NANDURBAR,7,Jalamsing Sutum Pawar,IND,0,10th Pass,53,Rs 500 ~ 5 Hund+,Rs 0 ~,No
2024,MAHARASHTRA,NANDURBAR,8,Nirmala Vasave,Peoples Party of India (Democratic),0,Post Graduate,38,"Rs 1,77,846 ~ 1 Lacs+",Rs 0 ~,No
2024,MAHARASHTRA,NANDURBAR,9,Ravindra Ranjit Valvi,Bharat Adivasi Party,0,Graduate,51,Not Available,Not Available,No
2024,MAHARASHTRA,NANDURBAR,10,Rohidas Gemaji Valvi,IND,1,Graduate,58,"Rs 58,12,988 ~ 58 Lacs+","Rs 4,11,238 ~ 4 Lacs+",No
2024,MAHARASHTRA,NANDURBAR,11,Sushilkumar Jahangir Pawara,IND,1,Others,40,"Rs 7,74,000 ~ 7 Lacs+","Rs 30,00,000 ~ 30 Lacs+",No
