Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,ODISHA,BHUBANESWAR,1,Aparajita Sarangi,BJP,1,Graduate,54,"Rs 4,62,54,213 ~ 4 Crore+",Rs 0 ~,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8040
2024,ODISHA,BHUBANESWAR,2,Hulas Senapati,IND,0,Literate,58,"Rs 2,76,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8033
2024,ODISHA,BHUBANESWAR,3,Kishor Kumar Sutar,IND,0,Graduate,46,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8034
2024,ODISHA,BHUBANESWAR,4,Manmath Kumar Routray,BJD,2,Graduate,42,"Rs 15,57,37,279 ~ 15 Crore+","Rs 2,34,94,839 ~ 2 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8041
2024,ODISHA,BHUBANESWAR,5,Natabar Maharana,Bharatiya Bikash Parishad,0,10th Pass,57,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8038
2024,ODISHA,BHUBANESWAR,6,Pradeep Kumar Sahoo,Kalinga Sena,0,Post Graduate,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8039
2024,ODISHA,BHUBANESWAR,7,Sangeeta Pattanaik,Odisha Janata Party,0,Graduate Professional,42,"Rs 13,80,800 ~ 13 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8030
2024,ODISHA,BHUBANESWAR,8,Santosh Kumar Mishra,IND,0,10th Pass,59,"Rs 9,88,023 ~ 9 Lacs+","Rs 2,70,128 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8031
2024,ODISHA,BHUBANESWAR,9,Smt. Santilata Rout,Supreme Zero Party of Bharat,1,Post Graduate,52,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8037
2024,ODISHA,BHUBANESWAR,10,Sudhansu Sekhar Das,IND,0,Graduate,60,"Rs 4,11,00,000 ~ 4 Crore+","Rs 45,155 ~ 45 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8035
2024,ODISHA,BHUBANESWAR,11,Suresh Chandra Panigrahy,CPI(M),7,Post Graduate,59,"Rs 14,89,903 ~ 14 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8036
2024,ODISHA,BHUBANESWAR,12,Syed Yashir Nawaz,INC,37,12th Pass,30,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8032
