Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,ODISHA,MAYURBHANJ,8,Naba Charan Majhi,BJP,1,Graduate,63,"Rs 74,07,000 ~ 74 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9392
2024,ODISHA,MAYURBHANJ,1,Anjani Soren,JMM,0,12th Pass,52,"Rs 3,67,84,703 ~ 3 Crore+","Rs 62,11,976 ~ 62 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9387
2024,ODISHA,MAYURBHANJ,2,Anta Alok Baskey,AJSU Party,0,Graduate,53,"Rs 28,76,000 ~ 28 Lacs+","Rs 19,00,000 ~ 19 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9386
2024,ODISHA,MAYURBHANJ,3,Ashok Kumar Sing,IND,0,Post Graduate,31,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9391
2024,ODISHA,MAYURBHANJ,4,Bajun Hansda,IND,3,12th Pass,36,"Rs 1,53,301 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9390
2024,ODISHA,MAYURBHANJ,5,Guru Charan Hembram,Bharatheeya Jawan Kisan Party,0,Graduate,54,"Rs 32,28,000 ~ 32 Lacs+","Rs 18,84,093 ~ 18 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9385
2024,ODISHA,MAYURBHANJ,6,Jatia Sawayan,BSP,0,Graduate Professional,56,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9389
2024,ODISHA,MAYURBHANJ,7,Kanhu Charan Tudu,IND,0,Post Graduate,62,"Rs 3,54,43,366 ~ 3 Crore+","Rs 48,57,588 ~ 48 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9396
2024,ODISHA,MAYURBHANJ,9,Pitambar Naik,SUCI(C),0,10th Pass,46,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9395
2024,ODISHA,MAYURBHANJ,10,Rabindra Nath Singh,IND,0,Post Graduate,64,"Rs 60,86,851 ~ 60 Lacs+","Rs 23,85,000 ~ 23 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9670
2024,ODISHA,MAYURBHANJ,11,Santilata Chattar,IND,0,10th Pass,51,"Rs 37,30,000 ~ 37 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9388
2024,ODISHA,MAYURBHANJ,12,Sudam Marndi,BJD,13,12th Pass,57,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9394
2024,ODISHA,MAYURBHANJ,13,Sukanta Hembram,Bharatiya Nyay-Adhikar Raksha Party,0,Post Graduate,38,"Rs 71,577 ~ 71 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9669
