Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,RAJASTHAN,BARMER,11,Ummeda Ram Beniwal,INC,0,Graduate,46,"Rs 19,27,65,969 ~ 19 Crore+","Rs 6,62,44,492 ~ 6 Crore+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2547
2024,RAJASTHAN,BARMER,1,Devilal Jain,IND,0,8th Pass,59,"Rs 1,11,44,318 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1773
2024,RAJASTHAN,BARMER,2,Haniph,IND,0,Literate,53,"Rs 7,63,367 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2732
2024,RAJASTHAN,BARMER,3,Kailash Choudhary,BJP,1,Graduate,50,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3314
2024,RAJASTHAN,BARMER,4,Leela Ram,BSP,0,12th Pass,55,"Rs 1,46,04,939 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2546
2024,RAJASTHAN,BARMER,5,Popat Lal,IND,0,10th Pass,54,"Rs 5,40,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2542
2024,RAJASTHAN,BARMER,6,Prabhu Ram,Aazad Samaj Party (Kanshi Ram),0,Graduate,32,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2731
2024,RAJASTHAN,BARMER,7,Pratapa Ram,IND,0,10th Pass,54,"Rs 13,46,336 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2035
2024,RAJASTHAN,BARMER,8,Rama Ram,IND,0,Post Graduate,37,"Rs 93,53,685 ~ 93 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2737
2024,RAJASTHAN,BARMER,9,Ravindra Singh Bhati,IND,6,Graduate Professional,26,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1774
2024,RAJASTHAN,BARMER,10,Tararam Mehna,IND,2,10th Pass,54,"Rs 1,72,57,000 ~ 1 Crore+","Rs 15,00,000 ~ 15 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2036
