Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,RAJASTHAN,JAIPUR,5,Manju Sharma,BJP,0,Post Graduate,64,"Rs 2,36,61,843 ~ 2 Crore+","Rs 41,69,859 ~ 41 Lacs+",Yes
2024,RAJASTHAN,JAIPUR,1,Advocate Hari Kishan Tiwari,Bheem Tribal Congress,0,Graduate Professional,64,"Rs 1,01,10,000 ~ 1 Crore+",Rs 0 ~,No
2024,RAJASTHAN,JAIPUR,2,Dr. Aseem Verma,IND,0,Doctorate,59,"Rs 2,46,28,731 ~ 2 Crore+",Rs 0 ~,No
2024,RAJASTHAN,JAIPUR,3,Hari Narayan Meena,IND,0,Graduate,64,Not Available,Not Available,No
2024,RAJASTHAN,JAIPUR,4,Kuldeep Singh,SUCI(C),0,Post Graduate,37,"Rs 11,98,813 ~ 11 Lacs+",Rs 0 ~,No
2024,RAJASTHAN,JAIPUR,6,Narender Sharma,Rashtriya Sanatan Party,0,12th Pass,45,Not Available,Not Available,No
2024,RAJASTHAN,JAIPUR,7,Pratap Singh Khachariyawas,INC,0,Post Graduate,54,"Rs 8,79,42,399 ~ 8 Crore+","Rs 96,60,026 ~ 96 Lacs+",No
2024,RAJASTHAN,JAIPUR,8,Rajeev Roliwal,IND,0,Graduate,54,"Rs 2,35,88,352 ~ 2 Crore+","Rs 18,57,968 ~ 18 Lacs+",No
2024,RAJASTHAN,JAIPUR,9,Rajesh Tanwar,BSP,0,8th Pass,59,Not Available,Not Available,No
2024,RAJASTHAN,JAIPUR,10,Shashank Singh Arya,Right to Recall Party,0,Post Graduate,36,"Rs 2,83,000 ~ 2 Lacs+",Rs 0 ~,No
2024,RAJASTHAN,JAIPUR,11,Trilok Tiwari,Rashtriya Samta Vikas Party,0,10th Pass,63,"Rs 5,98,000 ~ 5 Lacs+",Rs 0 ~,No
2024,RAJASTHAN,JAIPUR,12,Yogesh Sharma,IND,0,8th Pass,73,Not Available,Not Available,No
