Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,TAMIL NADU,TENKASI,6,Dr Rani Sri Kumar,DMK,0,Post Graduate,40,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1440
2024,TAMIL NADU,TENKASI,1,A Muthaiah,IND,0,5th Pass,70,"Rs 66,289 ~ 66 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1438
2024,TAMIL NADU,TENKASI,2,A Seetha,Bahujan Dravida Party,0,12th Pass,52,"Rs 63,25,000 ~ 63 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1445
2024,TAMIL NADU,TENKASI,3,Arumugaswami M,IND,0,Graduate,65,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=186
2024,TAMIL NADU,TENKASI,4,B John Pandian,BJP,1,Post Graduate,68,"Rs 13,23,55,437 ~ 13 Crore+","Rs 2,98,75,000 ~ 2 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=185
2024,TAMIL NADU,TENKASI,5,Dr K Krishnasamy,AIADMK,5,Post Graduate,72,"Rs 25,74,14,740 ~ 25 Crore+","Rs 3,77,60,259 ~ 3 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1432
2024,TAMIL NADU,TENKASI,7,Esai Mathivanan,Naam Tamilar Katchi,9,Graduate Professional,37,"Rs 3,88,997 ~ 3 Lacs+","Rs 1,12,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1435
2024,TAMIL NADU,TENKASI,8,Karpagavalli P,IND,0,10th Pass,36,"Rs 1,00,000 ~ 1 Lacs+","Rs 15,000 ~ 15 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1437
2024,TAMIL NADU,TENKASI,9,Krishnasamy,IND,0,10th Pass,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1441
2024,TAMIL NADU,TENKASI,10,M Manmathan,IND,0,8th Pass,69,"Rs 14,45,000 ~ 14 Lacs+","Rs 45,000 ~ 45 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1434
2024,TAMIL NADU,TENKASI,11,M Umamaheswari,Desiya Makkal Sakthi Katchi,0,Post Graduate,45,"Rs 1,22,68,200 ~ 1 Crore+","Rs 45,00,000 ~ 45 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1442
2024,TAMIL NADU,TENKASI,12,P Krishnasamy,IND,0,12th Pass,43,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1443
2024,TAMIL NADU,TENKASI,13,Raja Sekar,IND,0,Graduate,25,"Rs 1,79,050 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1436
2024,TAMIL NADU,TENKASI,14,Ramasamy P,Viro Ke Vir Indian Party,0,10th Pass,69,"Rs 1,54,30,187 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1444
2024,TAMIL NADU,TENKASI,15,T Maheshkumar,BSP,0,Graduate,32,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1446
