Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,TAMIL NADU,VELLORE,11,Dm Kathir Anand,DMK,5,Post Graduate,48,"Rs 88,79,65,643 ~ 88 Crore+","Rs 51,16,58,487 ~ 51 Crore+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=216
2024,TAMIL NADU,VELLORE,1,A Beemarao Milinthar,United Republican Party of India,0,10th Pass,39,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=804
2024,TAMIL NADU,VELLORE,2,A Natarajan,Bharatiya Praja Aikyata Party,0,8th Pass,82,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=805
2024,TAMIL NADU,VELLORE,3,Ac Shanmugam,BJP,0,Graduate Professional,72,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=213
2024,TAMIL NADU,VELLORE,4,Afrose,IND,0,5th Pass,39,"Rs 16,81,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1412
2024,TAMIL NADU,VELLORE,5,Ahmed Raashid Pallimira,IND,0,8th Pass,40,"Rs 2,06,40,000 ~ 2 Crore+","Rs 7,00,000 ~ 7 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1428
2024,TAMIL NADU,VELLORE,6,B Jagan,IND,1,Graduate,30,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=802
2024,TAMIL NADU,VELLORE,7,C Madhavan,IND,0,Others,59,"Rs 18,25,000 ~ 18 Lacs+","Rs 15,00,000 ~ 15 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1418
2024,TAMIL NADU,VELLORE,8,C Ramachandhiran,IND,0,10th Pass,44,"Rs 1,45,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=807
2024,TAMIL NADU,VELLORE,9,D Mahesh Anand,Naam Tamilar Katchi,0,Graduate Professional,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=214
2024,TAMIL NADU,VELLORE,10,D Saravanan,IND,1,Graduate Professional,36,"Rs 4,32,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1414
2024,TAMIL NADU,VELLORE,12,Dr S Jayaraj,IND,0,Doctorate,63,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1427
2024,TAMIL NADU,VELLORE,13,Dr S Pasupathi,AIADMK,0,Post Graduate,46,"Rs 5,13,01,453 ~ 5 Crore+","Rs 1,48,04,000 ~ 1 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=215
