Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,TELANGANA,BHONGIR,8,Chamala Kiran Kumar Reddy,INC,3,12th Pass,47,"Rs 28,72,11,468 ~ 28 Crore+","Rs 73,48,373 ~ 73 Lacs+",Yes
2024,TELANGANA,BHONGIR,1,Aitaraju Abender,BSP,0,Post Graduate,34,"Rs 55,000 ~ 55 Thou+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,2,Amireddy Kiran Reddy,IND,0,Graduate,33,"Rs 41,25,500 ~ 41 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,3,Anil Kumar Gadepaka,IND,1,Others,36,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,4,Asura Balu,IND,0,Graduate,32,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,5,Bashaboina Lakshmaiah,IND,1,Others,42,"Rs 10,25,000 ~ 10 Lacs+","Rs 4,31,850 ~ 4 Lacs+",No
2024,TELANGANA,BHONGIR,6,Bethi Narender,IND,1,Post Graduate,43,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,7,Bushipaka Venkataiah,IND,0,Graduate,42,"Rs 5,83,625 ~ 5 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No
2024,TELANGANA,BHONGIR,9,Chandu Nayak Megavath,IND,0,Post Graduate,26,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,10,Dheravath Gopi Naik,Jai Maha Bharath Party,0,Graduate,55,"Rs 14,95,823 ~ 14 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,11,Dr. Boora Narsaiah Goud,BJP,1,Post Graduate,65,"Rs 39,29,34,699 ~ 39 Crore+","Rs 3,22,01,056 ~ 3 Crore+",No
2024,TELANGANA,BHONGIR,12,Dr. Morigadi Krishna,IND,0,Doctorate,54,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,13,Erra Suryam,Viduthalai Chiruthaigal Katchi,0,10th Pass,29,"Rs 32,000 ~ 32 Thou+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,14,Janga. Sujathanaveen Reddy,IND,0,Graduate,33,"Rs 40,70,000 ~ 40 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,15,Kadire Kiran Kumar,Bahujan Republican Socialist Party,0,10th Pass,36,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,16,Kandadi. Manipal Reddy,Telangana Republican Party,0,Graduate,33,"Rs 2,10,95,700 ~ 2 Crore+","Rs 5,20,000 ~ 5 Lacs+",No
2024,TELANGANA,BHONGIR,17,Kande. Ramaraju,IND,0,Graduate,32,"Rs 55,000 ~ 55 Thou+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,18,Karingula Yadagiri,IND,0,10th Pass,51,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,19,Karunakar Reddy Nalla,Jai Bharat National Party,3,Post Graduate,64,"Rs 51,80,000 ~ 51 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,20,Kongari Linga Swamy,Dharma Samaj Party,0,Post Graduate,37,"Rs 8,79,528 ~ 8 Lacs+","Rs 23,00,000 ~ 23 Lacs+",No
2024,TELANGANA,BHONGIR,21,Kongari Mallaiah,IND,0,Illiterate,52,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,22,Kothoju Srinivasu,National Maha Sabha Party,0,12th Pass,41,"Rs 1,12,000 ~ 1 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,23,Kyama Mallesh,BRS,0,12th Pass,59,"Rs 1,45,34,92,521 ~ 145 Crore+","Rs 63,46,488 ~ 63 Lacs+",No
2024,TELANGANA,BHONGIR,24,Lingidi. Venkateswarlu,Prajavani Party,1,Post Graduate,66,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,25,M. Ganesh,Pyramid Party of India,0,10th Pass,59,"Rs 16,95,000 ~ 16 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,26,Mahamd Jahangir,CPI(M),0,Graduate,51,"Rs 41,00,567 ~ 41 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,27,Malleboina Paramesh Yadav,IND,0,Graduate,31,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,28,Narendraa Vemula,Jai Swaraj Party,1,12th Pass,37,"Rs 89,25,000 ~ 89 Lacs+","Rs 7,50,000 ~ 7 Lacs+",No
2024,TELANGANA,BHONGIR,29,Narri. Swamy Kuruma,IND,1,Post Graduate,36,"Rs 63,02,500 ~ 63 Lacs+","Rs 8,00,000 ~ 8 Lacs+",No
2024,TELANGANA,BHONGIR,30,Nune Venkat Swamy,IND,0,12th Pass,54,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,31,Penta Ramesh,IND,0,Graduate Professional,53,"Rs 2,35,000 ~ 2 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,32,Poosa Srinivas,Telangana Rashtra Punahnirmana Samithi,0,Post Graduate,51,"Rs 34,06,200 ~ 34 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,33,Puligilla Bixapathi Yadav,National Nava Kranthi Party,0,Graduate Professional,48,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,34,Racha Subhadra Reddy,Socialist Party (India),0,Post Graduate,74,"Rs 37,62,000 ~ 37 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No
2024,TELANGANA,BHONGIR,35,Ramesh Goud Thallapelly,Alliance of Democratic Reforms Party,0,10th Pass,40,"Rs 30,25,000 ~ 30 Lacs+","Rs 4,19,000 ~ 4 Lacs+",No
2024,TELANGANA,BHONGIR,36,Tarigoppula Mahender,Social Justice Party of India,1,Graduate Professional,53,Not Available,Not Available,No
2024,TELANGANA,BHONGIR,37,Udari Mallesh,IND,0,Post Graduate,38,"Rs 1,21,000 ~ 1 Lacs+",Rs 0 ~,No
2024,TELANGANA,BHONGIR,38,V. Sadananda Reddy,People Protection Party,0,Graduate,58,"Rs 1,80,30,000 ~ 1 Crore+","Rs 7,00,000 ~ 7 Lacs+",No
2024,TELANGANA,BHONGIR,39,Varikuppala. Krishna Vaddera,IND,0,5th Pass,55,Not Available,Not Available,No
