Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,TELANGANA,KARIMNAGAR,7,Bandi Sanjay Kumar,BJP,42,Post Graduate,52,"Rs 1,12,75,000 ~ 1 Crore+","Rs 13,40,000 ~ 13 Lacs+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5230
2024,TELANGANA,KARIMNAGAR,1,Abbadi Buchi Reddy,IND,0,10th Pass,54,"Rs 93,94,000 ~ 93 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5608
2024,TELANGANA,KARIMNAGAR,2,Akshay Kumar Mekala,IND,0,Graduate Professional,29,"Rs 3,96,315 ~ 3 Lacs+","Rs 50,000 ~ 50 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5601
2024,TELANGANA,KARIMNAGAR,3,Anilreddy Kadthala,National Nava Kranthi Party,0,12th Pass,30,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5495
2024,TELANGANA,KARIMNAGAR,4,Anose Katkoori,IND,0,10th Pass,32,"Rs 40,20,000 ~ 40 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5602
2024,TELANGANA,KARIMNAGAR,5,Aruna Thallapally,Alliance of Democratic Reforms Party,0,Graduate,39,"Rs 30,20,000 ~ 30 Lacs+","Rs 4,19,000 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5501
2024,TELANGANA,KARIMNAGAR,6,Ashok Panchika,Social Justice Party of India,0,Graduate,31,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5499
2024,TELANGANA,KARIMNAGAR,8,Cheekoti Varunkumar Gupta,Telugu Congress Party,0,Post Graduate,35,"Rs 20,00,000 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5497
2024,TELANGANA,KARIMNAGAR,9,Chiluveru Srikanth,Dharma Samaj Party,0,Graduate Professional,32,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5492
2024,TELANGANA,KARIMNAGAR,10,Chintha Anilkumar,Pyramid Party of India,0,Post Graduate,38,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5494
2024,TELANGANA,KARIMNAGAR,11,Devunoori Srinivasu,IND,2,Post Graduate,44,"Rs 54,04,863 ~ 54 Lacs+","Rs 2,48,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5609
2024,TELANGANA,KARIMNAGAR,12,Gadda Sathish,IND,0,Graduate,33,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5598
2024,TELANGANA,KARIMNAGAR,13,Gattaiah Yadav Barige,IND,0,10th Pass,49,"Rs 70,48,000 ~ 70 Lacs+","Rs 5,20,000 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5606
2024,TELANGANA,KARIMNAGAR,14,Gavvala Laxmi,IND,0,Post Graduate,40,"Rs 18,19,000 ~ 18 Lacs+","Rs 1,60,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5607
2024,TELANGANA,KARIMNAGAR,15,Gudishe Mohan,IND,0,Post Graduate,43,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5600
2024,TELANGANA,KARIMNAGAR,16,Journalist Vikram Reddy Vemulaa,IND,1,Others,30,"Rs 44,82,000 ~ 44 Lacs+","Rs 8,00,000 ~ 8 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5597
2024,TELANGANA,KARIMNAGAR,17,Kota Shyamkumar,IND,0,12th Pass,37,"Rs 71,000 ~ 71 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5490
2024,TELANGANA,KARIMNAGAR,18,Manasa Perala,IND,0,Graduate Professional,25,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5599
2024,TELANGANA,KARIMNAGAR,19,Marepalli Mogilaiah,BSP,0,Graduate,67,"Rs 43,79,000 ~ 43 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5486
2024,TELANGANA,KARIMNAGAR,20,Podishetti Sammaiah,Bahujan Mukti Party,0,Illiterate,45,"Rs 3,02,000 ~ 3 Lacs+","Rs 1,96,650 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5496
2024,TELANGANA,KARIMNAGAR,21,Rajender Pothuri,IND,0,Post Graduate,32,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5603
2024,TELANGANA,KARIMNAGAR,22,Ranapratap Gattu,Socialist Party (India),2,Post Graduate,29,"Rs 12,000 ~ 12 Thou+","Rs 27,000 ~ 27 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5500
2024,TELANGANA,KARIMNAGAR,23,Rapole Ramkumar Bharadwaj,IND,0,Post Graduate,52,"Rs 1,21,77,934 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7040
2024,TELANGANA,KARIMNAGAR,24,Shivaratri Srinivas,IND,0,5th Pass,45,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7042
2024,TELANGANA,KARIMNAGAR,25,Sravan Peddapelly,Bharathiya YuvaKula Dalam,0,Post Graduate,33,"Rs 3,60,75,648 ~ 3 Crore+","Rs 94,22,508 ~ 94 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5498
