Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,TELANGANA,MAHBUBNAGAR,4,Aruna. D. K,BJP,6,12th Pass,64,"Rs 66,75,69,871 ~ 66 Crore+","Rs 1,61,32,436 ~ 1 Crore+",Yes
2024,TELANGANA,MAHBUBNAGAR,1,A. Srinivasulu,IND,0,10th Pass,52,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2024,TELANGANA,MAHBUBNAGAR,2,Andhari Anjaiah,IND,1,Post Graduate,62,"Rs 1,55,51,799 ~ 1 Crore+","Rs 32,92,443 ~ 32 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,3,Aneesur Rahman,Bahujan Mukti Party,0,Post Graduate,65,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,5,B. Ravinder,Social Justice Party of India,1,12th Pass,54,"Rs 1,59,54,150 ~ 1 Crore+","Rs 31,50,000 ~ 31 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,6,Banda Satyanarayana,IND,0,Post Graduate,36,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,7,Challa Vamshi Chand Reddy,INC,3,12th Pass,43,"Rs 3,31,71,049 ~ 3 Crore+","Rs 23,42,382 ~ 23 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,8,Dinesh,IND,0,Graduate Professional,36,"Rs 2,52,58,500 ~ 2 Crore+","Rs 19,62,000 ~ 19 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,9,Gantlavelli Rakesh,Dharma Samaj Party,0,Post Graduate,32,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,10,Govindamma,IND,0,Illiterate,51,Nil,Rs 0 ~,No
2024,TELANGANA,MAHBUBNAGAR,11,Hanumesh,IND,2,Graduate,45,"Rs 1,00,20,000 ~ 1 Crore+","Rs 58,00,000 ~ 58 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,12,Harinder Reddy Mallela,IND,0,12th Pass,26,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,13,K. Uday Tej Naik,IND,0,Graduate Professional,30,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2024,TELANGANA,MAHBUBNAGAR,14,Kadinti Shankar Reddy,Viduthalai Chiruthaigal Katchi,0,Illiterate,45,"Rs 36,500 ~ 36 Thou+",Rs 0 ~,No
2024,TELANGANA,MAHBUBNAGAR,15,Karukonda Srinivas Yadav,IND,0,12th Pass,42,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,16,Kinnera Yadagiri,IND,0,10th Pass,47,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2024,TELANGANA,MAHBUBNAGAR,17,Kura Venkataiah,IND,2,5th Pass,53,"Rs 46,30,625 ~ 46 Lacs+","Rs 4,80,000 ~ 4 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,18,M. Naveen Reddy,IND,0,Graduate,30,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,19,Manne Srinivas Reddy,BRS,0,12th Pass,65,"Rs 16,18,35,686 ~ 16 Crore+","Rs 2,73,75,446 ~ 2 Crore+",No
2024,TELANGANA,MAHBUBNAGAR,20,Marla Anjaneyulu,Jai Swaraj Party,2,10th Pass,38,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,No
2024,TELANGANA,MAHBUBNAGAR,21,Mohd Alauddin,BSP,0,Graduate Professional,45,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,22,Mudavath Balaraju Naik,IND,0,Graduate Professional,35,"Rs 49,97,600 ~ 49 Lacs+","Rs 2,60,000 ~ 2 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,23,Nadiminti Srinivasulu,IND,0,10th Pass,59,"Rs 14,33,000 ~ 14 Lacs+",Rs 0 ~,No
2024,TELANGANA,MAHBUBNAGAR,24,Naresh Reddy,Telangana Jaghir Party,0,10th Pass,41,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,25,Pullangari Sandeep Kumar Reddy,IND,0,Post Graduate,38,"Rs 12,25,000 ~ 12 Lacs+","Rs 7,07,000 ~ 7 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,26,Sangepaga Sarojanamma,IND,0,Others,40,"Rs 5,11,201 ~ 5 Lacs+","Rs 2,204 ~ 2 Thou+",No
2024,TELANGANA,MAHBUBNAGAR,27,Umashankar Nemmikanti,IND,0,Doctorate,55,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,28,Venkata Ramana,IND,0,12th Pass,52,"Rs 60,33,358 ~ 60 Lacs+","Rs 1,17,680 ~ 1 Lacs+",No
2024,TELANGANA,MAHBUBNAGAR,29,Venkateswarlu Tallada,Alliance of Democratic Reforms Party,0,5th Pass,54,"Rs 15,99,000 ~ 15 Lacs+",Rs 0 ~,No
2024,TELANGANA,MAHBUBNAGAR,30,Vijaya,IND,0,12th Pass,29,Not Available,Not Available,No
2024,TELANGANA,MAHBUBNAGAR,31,Vishnu Vardhan Reddy Thapalakindhi,IND,0,Graduate,26,"Rs 2,66,82,000 ~ 2 Crore+","Rs 2,02,881 ~ 2 Lacs+",No
