Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,TELANGANA,NALGONDA,9,Kunduru Raghuveer,INC,2,12th Pass,44,Not Available,Not Available,Yes
2024,TELANGANA,NALGONDA,1,Anjaiah Virigineni,BSP,1,10th Pass,65,"Rs 33,77,11,383 ~ 33 Crore+","Rs 11,01,00,000 ~ 11 Crore+",No
2024,TELANGANA,NALGONDA,2,Cholleti Prabhakar,IND,0,Post Graduate,68,"Rs 1,91,17,000 ~ 1 Crore+",Rs 0 ~,No
2024,TELANGANA,NALGONDA,3,Goli Saidulu,IND,0,12th Pass,41,Not Available,Not Available,No
2024,TELANGANA,NALGONDA,4,Janaiah Nandipati,Telangana Sakalajanula Party,0,Graduate,48,"Rs 23,82,638 ~ 23 Lacs+","Rs 45,000 ~ 45 Thou+",No
2024,TELANGANA,NALGONDA,5,Kancharla Krishna Reddy,BRS,0,Post Graduate,53,"Rs 85,28,29,033 ~ 85 Crore+",Rs 0 ~,No
2024,TELANGANA,NALGONDA,6,Kinnera Yadaiah,IND,0,Graduate Professional,38,Not Available,Not Available,No
2024,TELANGANA,NALGONDA,7,Kukkala Venkanna,IND,3,Graduate Professional,30,"Rs 22,21,372 ~ 22 Lacs+","Rs 1,80,000 ~ 1 Lacs+",No
2024,TELANGANA,NALGONDA,8,Kundarapu Srikanth,IND,0,Graduate,37,"Rs 2,02,04,630 ~ 2 Crore+","Rs 23,00,000 ~ 23 Lacs+",No
2024,TELANGANA,NALGONDA,10,Lingam Krishna,IND,0,12th Pass,33,"Rs 10,21,000 ~ 10 Lacs+",Rs 0 ~,No
2024,TELANGANA,NALGONDA,11,Maram Venkat Reddy,IND,0,10th Pass,53,"Rs 30,500 ~ 30 Thou+","Rs 1,00,000 ~ 1 Lacs+",No
2024,TELANGANA,NALGONDA,12,Marri Nehemiah,IND,0,12th Pass,69,Not Available,Not Available,No
2024,TELANGANA,NALGONDA,13,Nagaraju Bandaru,IND,0,Post Graduate,30,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~,No
2024,TELANGANA,NALGONDA,14,Panugotu Lalasingh,IND,0,10th Pass,33,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,No
2024,TELANGANA,NALGONDA,15,Polishetty Venkateshwarlu,IND,0,12th Pass,58,Not Available,Not Available,No
2024,TELANGANA,NALGONDA,16,Racha Subhadra Reddy,Socialist Party (India),0,Post Graduate,74,"Rs 37,62,000 ~ 37 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No
2024,TELANGANA,NALGONDA,17,Ramesh Sunkara,IND,0,Graduate,69,"Rs 80,89,425 ~ 80 Lacs+","Rs 95,000 ~ 95 Thou+",No
2024,TELANGANA,NALGONDA,18,Ravi Palakuri,IND,0,Graduate,43,Not Available,Not Available,No
2024,TELANGANA,NALGONDA,19,Saidi Reddy Shanampudi,BJP,6,Graduate,49,"Rs 31,35,09,177 ~ 31 Crore+","Rs 6,10,09,131 ~ 6 Crore+",No
2024,TELANGANA,NALGONDA,20,Shirishala Srinaiah,IND,0,10th Pass,44,"Rs 7,36,000 ~ 7 Lacs+","Rs 1,32,000 ~ 1 Lacs+",No
2024,TELANGANA,NALGONDA,21,Thalari Rambabu,Dharma Samaj Party,0,12th Pass,33,Not Available,Not Available,No
2024,TELANGANA,NALGONDA,22,Vaskula Mattaiah,Marxist Communist Party of India (United),2,12th Pass,51,"Rs 19,13,167 ~ 19 Lacs+","Rs 2,60,000 ~ 2 Lacs+",No
