Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,TELANGANA,NIZAMABAD,4,Arvind Dharmapuri,BJP,22,Post Graduate,47,"Rs 1,09,90,20,273 ~ 109 Crore+","Rs 30,66,81,918 ~ 30 Crore+",Yes
2024,TELANGANA,NIZAMABAD,1,Abbagoni Ashok Goud,Bahujana Left Party,0,Post Graduate,42,"Rs 1,80,000 ~ 1 Lacs+",Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,2,Ali Mansoor,Anna YSR Congress Party,1,12th Pass,36,"Rs 30,10,000 ~ 30 Lacs+","Rs 11,02,500 ~ 11 Lacs+",No
2024,TELANGANA,NIZAMABAD,3,Are Rajendhar,IND,0,Graduate,40,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,5,B B Naik,IND,0,Graduate,49,"Rs 35,55,000 ~ 35 Lacs+",Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,6,Bhukya. Nandu,Vidhyarthula Rajakiya Party,0,12th Pass,57,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,7,Deshaboina Laxminarayana,IND,0,8th Pass,50,"Rs 1,14,10,000 ~ 1 Crore+","Rs 25,00,000 ~ 25 Lacs+",No
2024,TELANGANA,NIZAMABAD,8,Devathi Srinivas,Bahujan Mukti Party,0,Post Graduate,38,"Rs 27,20,757 ~ 27 Lacs+","Rs 9,47,267 ~ 9 Lacs+",No
2024,TELANGANA,NIZAMABAD,9,Ganta Charitha Rao,IND,0,Post Graduate,36,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,10,Goli. Naresh,Dalita Bahujana Party,0,Post Graduate,43,Nil,Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,11,Gopi Chendriah,IND,0,Illiterate,54,"Rs 4,20,500 ~ 4 Lacs+",Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,12,Goverdhan Bajireddy,BRS,0,Graduate,69,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,13,Guyya Saikrishna Murthy,Yuga Thulasi Party,0,Graduate Professional,38,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,14,Jeevanreddy Thatiparthi,INC,7,Graduate Professional,72,"Rs 3,55,68,956 ~ 3 Crore+","Rs 67,94,510 ~ 67 Lacs+",No
2024,TELANGANA,NIZAMABAD,15,Kandela Suman,Dharma Samaj Party,0,Graduate,36,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,16,Kotagiri Srinivas,IND,1,5th Pass,56,"Rs 42,57,000 ~ 42 Lacs+",Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,17,Kothakonda Shakti Prasad,IND,0,10th Pass,38,"Rs 82,90,000 ~ 82 Lacs+","Rs 18,52,687 ~ 18 Lacs+",No
2024,TELANGANA,NIZAMABAD,18,Malavat Vithal,IND,0,Graduate,40,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,19,Mogili Rajkumar,India Praja Bandhu Party,0,12th Pass,46,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,20,Palamuri Sai Nikhil,IND,0,Graduate Professional,27,"Rs 4,00,000 ~ 4 Lacs+","Rs 9,00,000 ~ 9 Lacs+",No
2024,TELANGANA,NIZAMABAD,21,Prashanth Katraji,IND,0,Graduate,30,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,22,Puppala Limbadri,BSP,0,Graduate Professional,49,"Rs 38,48,082 ~ 38 Lacs+",Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,23,Ragi Anil,IND,0,5th Pass,43,"Rs 11,11,000 ~ 11 Lacs+","Rs 1,40,000 ~ 1 Lacs+",No
2024,TELANGANA,NIZAMABAD,24,Rapally Satyanarayana,IND,0,Graduate,64,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,25,Rapelly Srinivas,IND,0,8th Pass,49,"Rs 26,85,000 ~ 26 Lacs+",Rs 0 ~,No
2024,TELANGANA,NIZAMABAD,26,Syed Asgar,IND,0,Graduate,46,"Rs 6,83,000 ~ 6 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No
2024,TELANGANA,NIZAMABAD,27,Tutukuru Jeevan Reddy,IND,0,12th Pass,57,Not Available,Not Available,No
2024,TELANGANA,NIZAMABAD,28,Vemulaa Vikram Reddy,IND,1,Others,30,"Rs 31,32,000 ~ 31 Lacs+","Rs 8,00,000 ~ 8 Lacs+",No
2024,TELANGANA,NIZAMABAD,29,Yougendar Gatla,Alliance of Democratic Reforms Party,1,10th Pass,45,"Rs 2,29,500 ~ 2 Lacs+","Rs 1,10,000 ~ 1 Lacs+",No
