Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,TELANGANA,SECUNDERABAD,12,G. Kishan Reddy,BJP,0,Others,63,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5251
2024,TELANGANA,SECUNDERABAD,1,Andrapu Sudarshan,IND,0,Graduate,51,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5966
2024,TELANGANA,SECUNDERABAD,2,B . Sunitha Rani,Socialist Party (India),0,10th Pass,53,"Rs 1,75,19,165 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6002
2024,TELANGANA,SECUNDERABAD,3,Bathula Ravi,IND,0,Others,54,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5988
2024,TELANGANA,SECUNDERABAD,4,Boggula Suniithha,IND,0,12th Pass,50,"Rs 31,55,000 ~ 31 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5975
2024,TELANGANA,SECUNDERABAD,5,Bommakanti Sowmya,Pyramid Party of India,0,Graduate Professional,33,"Rs 43,50,000 ~ 43 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5992
2024,TELANGANA,SECUNDERABAD,6,Chalika Chandra Sekhar,IND,0,Graduate,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6003
2024,TELANGANA,SECUNDERABAD,7,Cheekati Bhupal Goud,All India Backward People Sunami Party,0,Graduate,75,"Rs 3,92,72,373 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5968
2024,TELANGANA,SECUNDERABAD,8,Danam Nagender,INC,8,Post Graduate,60,"Rs 59,61,87,718 ~ 59 Crore+","Rs 64,59,30,000 ~ 64 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5292
2024,TELANGANA,SECUNDERABAD,9,Devendar Konne,IND,0,Graduate,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5996
2024,TELANGANA,SECUNDERABAD,10,Dr. Baswanandam Dandepu,BSP,0,Post Graduate,59,"Rs 25,43,95,000 ~ 25 Crore+","Rs 2,90,00,000 ~ 2 Crore+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5965
2024,TELANGANA,SECUNDERABAD,11,Dr. R. Gangadhar,SUCI(C),0,Doctorate,39,"Rs 3,48,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5978
2024,TELANGANA,SECUNDERABAD,13,Ganesh Bhargavi Gunde,Jai Bharat National Party,0,Post Graduate,42,"Rs 97,600 ~ 97 Thou+","Rs 43,50,000 ~ 43 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5963
2024,TELANGANA,SECUNDERABAD,14,Gowlikar Sony,Social Justice Party of India,0,Graduate Professional,37,"Rs 83,20,000 ~ 83 Lacs+","Rs 83,00,000 ~ 83 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5984
2024,TELANGANA,SECUNDERABAD,15,Ibrahim Khan,IND,0,Post Graduate,32,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5973
2024,TELANGANA,SECUNDERABAD,16,Junaid Anam Siddiqui,IND,0,12th Pass,40,"Rs 3,25,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5974
2024,TELANGANA,SECUNDERABAD,17,K. Murali Krishna,IND,0,8th Pass,46,"Rs 4,70,000 ~ 4 Lacs+","Rs 70,000 ~ 70 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5980
2024,TELANGANA,SECUNDERABAD,18,Kolisetty Shiva Kumar,Yuga Thulasi Party,0,12th Pass,46,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5971
2024,TELANGANA,SECUNDERABAD,19,Kondoju Mohan,IND,0,10th Pass,65,"Rs 4,35,59,276 ~ 4 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5979
2024,TELANGANA,SECUNDERABAD,20,Kranthi Kumar Bandela,Indian National Yuva Jana Party,0,Graduate Professional,32,"Rs 29,12,715 ~ 29 Lacs+","Rs 17,40,797 ~ 17 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5976
2024,TELANGANA,SECUNDERABAD,21,Krupavaram Gandu,IND,0,Literate,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5998
2024,TELANGANA,SECUNDERABAD,22,Lunavath Hari Ram,IND,0,Literate,43,"Rs 2,10,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5961
2024,TELANGANA,SECUNDERABAD,23,Machcherla Venkata Reddy,IND,0,Illiterate,69,"Rs 1,10,44,500 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5994
2024,TELANGANA,SECUNDERABAD,24,Md Khaleel Uz Zama,IND,0,12th Pass,37,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5962
2024,TELANGANA,SECUNDERABAD,25,Mohammed Abdul Azeem,IND,1,8th Pass,53,"Rs 2,10,000 ~ 2 Lacs+","Rs 1,70,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5997
2024,TELANGANA,SECUNDERABAD,26,Mohammed Akram Ali Khan,IND,0,12th Pass,38,"Rs 1,25,93,874 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6994
2024,TELANGANA,SECUNDERABAD,27,Mohammed Ayub Ali,Anna YSR Congress Party,0,10th Pass,57,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5964
2024,TELANGANA,SECUNDERABAD,28,Mohammed Fasi Uddin,IND,0,10th Pass,33,"Rs 45,000 ~ 45 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5977
2024,TELANGANA,SECUNDERABAD,29,Mohammed Ibrahim Ahmed,IND,0,5th Pass,45,"Rs 4,65,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5969
2024,TELANGANA,SECUNDERABAD,30,Mohammed Rafiuddin Kaleem,All India Majlis-E-Inquilab-E-Millat,0,Graduate Professional,49,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5970
2024,TELANGANA,SECUNDERABAD,31,P C Linganna,IND,0,5th Pass,55,"Rs 15,00,000 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5999
2024,TELANGANA,SECUNDERABAD,32,Padma Rao . T,BRS,3,10th Pass,70,"Rs 4,19,34,118 ~ 4 Crore+","Rs 50,00,000 ~ 50 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5250
2024,TELANGANA,SECUNDERABAD,33,Pagidipalli Shyamson,Viduthalai Chiruthaigal Katchi,0,10th Pass,31,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5983
2024,TELANGANA,SECUNDERABAD,34,Pampari Narender,IND,0,Post Graduate,45,"Rs 85,98,105 ~ 85 Lacs+","Rs 7,49,460 ~ 7 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5987
2024,TELANGANA,SECUNDERABAD,35,Pulimamidi Venkatesh Gupta,IND,0,8th Pass,53,"Rs 9,75,000 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5991
2024,TELANGANA,SECUNDERABAD,36,R.S.J. Thomas,Jai Swaraj Party,0,Others,58,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5993
2024,TELANGANA,SECUNDERABAD,37,Raasala Vinod Kumar,Dharma Samaj Party,0,Graduate Professional,30,"Rs 79,799 ~ 79 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5967
2024,TELANGANA,SECUNDERABAD,38,Reddymalla Parvathi,IND,0,Illiterate,44,"Rs 3,40,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5986
2024,TELANGANA,SECUNDERABAD,39,Sangala Flory,IND,2,Post Graduate,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5995
2024,TELANGANA,SECUNDERABAD,40,Sapavat Suman,IND,0,Post Graduate,36,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5972
2024,TELANGANA,SECUNDERABAD,41,Sararapu Srisailam,Telangana Rajya Samithi,1,12th Pass,47,"Rs 11,05,114 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5981
2024,TELANGANA,SECUNDERABAD,42,Syed Khader,IND,0,10th Pass,54,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6000
2024,TELANGANA,SECUNDERABAD,43,Uttam Praveen Kumar,IND,0,10th Pass,55,"Rs 89,40,000 ~ 89 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5985
2024,TELANGANA,SECUNDERABAD,44,V. K. Vijaya Lakshmi,IND,0,Graduate Professional,60,"Rs 3,17,52,000 ~ 3 Crore+","Rs 50,00,000 ~ 50 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5982
2024,TELANGANA,SECUNDERABAD,45,Velamarthi. Ravi Kiran,IND,0,Post Graduate,46,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5990
