Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,UTTAR PRADESH,ALIGARH,13,Satish Kumar Gautam,BJP,0,Graduate,51,"Rs 16,06,24,125 ~ 16 Crore+","Rs 4,65,70,044 ~ 4 Crore+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1806
2024,UTTAR PRADESH,ALIGARH,1,Bijendra Singh,SP,2,Graduate,67,"Rs 11,92,29,988 ~ 11 Crore+","Rs 6,50,000 ~ 6 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2478
2024,UTTAR PRADESH,ALIGARH,2,Dileep Sharma Ad.,IND,0,Graduate Professional,41,"Rs 6,30,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2838
2024,UTTAR PRADESH,ALIGARH,3,Gyani Ram,IND,0,8th Pass,65,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2688
2024,UTTAR PRADESH,ALIGARH,4,Hitendra Kumar Alias Bunty Upadhyay,BSP,1,Graduate Professional,45,"Rs 7,47,06,709 ~ 7 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2479
2024,UTTAR PRADESH,ALIGARH,5,Keshav Dev Alias Pandit Keshav Dev Gautam,IND,5,Literate,48,"Rs 9,64,218 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2481
2024,UTTAR PRADESH,ALIGARH,6,Mahesh Chandra Sharma,IND,0,10th Pass,53,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2486
2024,UTTAR PRADESH,ALIGARH,7,Manoj Kumar Alias Manoj Lodhi,Saman Adhikar Party,0,Post Graduate,37,"Rs 48,35,766 ~ 48 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2482
2024,UTTAR PRADESH,ALIGARH,8,Manoj Kumar Sharma,Loktantrik Janshakti Party,0,Graduate Professional,48,"Rs 2,04,39,600 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2483
2024,UTTAR PRADESH,ALIGARH,9,Raj Kumar,Rashtriya Shoshit Samaj Party,1,12th Pass,40,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2836
2024,UTTAR PRADESH,ALIGARH,10,Rajesh Kumar,IND,0,10th Pass,46,"Rs 1,14,93,926 ~ 1 Crore+","Rs 14,25,000 ~ 14 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2687
2024,UTTAR PRADESH,ALIGARH,11,Satish Kumar,Swatantra Jantaraj Party,0,8th Pass,52,"Rs 37,70,642 ~ 37 Lacs+","Rs 4,67,627 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2689
2024,UTTAR PRADESH,ALIGARH,12,Satish Kumar,IND,0,12th Pass,25,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1805
2024,UTTAR PRADESH,ALIGARH,14,Surendra,Moulik Adhikar Party,0,Graduate,34,"Rs 2,28,500 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2480
