Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,UTTAR PRADESH,AMROHA,3,Kanwar Singh Tanwar,BJP,1,8th Pass,63,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1807
2024,UTTAR PRADESH,AMROHA,1,Dhanish,IND,0,5th Pass,32,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2834
2024,UTTAR PRADESH,AMROHA,2,Jeetpal Rana,IND,0,10th Pass,27,"Rs 2,10,500 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2684
2024,UTTAR PRADESH,AMROHA,4,Kashif Husain,IND,0,12th Pass,31,"Rs 16,81,82,485 ~ 16 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2487
2024,UTTAR PRADESH,AMROHA,5,Kumdesh Kumar,IND,0,Graduate,49,"Rs 12,50,000 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2493
2024,UTTAR PRADESH,AMROHA,6,Kunwar Danish Ali,INC,1,Post Graduate,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2490
2024,UTTAR PRADESH,AMROHA,7,Kushagra,IND,0,Graduate,29,"Rs 12,12,000 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2137
2024,UTTAR PRADESH,AMROHA,8,Mujahid Husain,BSP,1,Graduate,59,"Rs 24,24,17,866 ~ 24 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2138
2024,UTTAR PRADESH,AMROHA,9,Naeemuddin,IND,0,10th Pass,38,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2830
2024,UTTAR PRADESH,AMROHA,10,Narendra Singh,IND,0,8th Pass,36,"Rs 2,12,406 ~ 2 Lacs+","Rs 51,040 ~ 51 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2494
2024,UTTAR PRADESH,AMROHA,11,Suhel Haider,Akhil Bhartiya Parivar Party,0,12th Pass,36,"Rs 32,28,000 ~ 32 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2828
2024,UTTAR PRADESH,AMROHA,12,Suresh,IND,0,5th Pass,54,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2833
