Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,UTTAR PRADESH,BHADOHI,3,Dr. Vinod Kumar Bind,BJP,0,Graduate Professional,50,Not Available,Not Available,Yes
2024,UTTAR PRADESH,BHADOHI,1,Dhirendra Kumar Tiwari,IND,0,Graduate,58,"Rs 14,00,000 ~ 14 Lacs+",Rs 0 ~,No
2024,UTTAR PRADESH,BHADOHI,2,Dr. Shyamdhar Tiwari,IND,0,Doctorate,57,"Rs 2,26,43,988 ~ 2 Crore+",Rs 0 ~,No
2024,UTTAR PRADESH,BHADOHI,4,Harishankar,BSP,0,12th Pass,59,"Rs 4,36,39,214 ~ 4 Crore+","Rs 4,12,231 ~ 4 Lacs+",No
2024,UTTAR PRADESH,BHADOHI,5,Krishna Dev,Rashtra Uday Party,0,Post Graduate,40,"Rs 27,50,000 ~ 27 Lacs+","Rs 1,40,000 ~ 1 Lacs+",No
2024,UTTAR PRADESH,BHADOHI,6,Laliteshpati Tripathi,AITC,3,Graduate,46,Not Available,Not Available,No
2024,UTTAR PRADESH,BHADOHI,7,Premchand Bind,Pragatisheel Manav Samaj Party,1,Graduate Professional,55,"Rs 12,49,953 ~ 12 Lacs+",Rs 0 ~,No
2024,UTTAR PRADESH,BHADOHI,8,Raj Narayan Patel,Sardar Patel Siddhant Party,3,Graduate,71,"Rs 40,61,000 ~ 40 Lacs+","Rs 1,75,000 ~ 1 Lacs+",No
2024,UTTAR PRADESH,BHADOHI,9,Ram Prakash Mishra,Rashtriya Samaj Paksha,0,Graduate,39,Not Available,Not Available,No
2024,UTTAR PRADESH,BHADOHI,10,Sushil,All India Forward Bloc,0,12th Pass,54,"Rs 93,07,553 ~ 93 Lacs+",Rs 0 ~,No
