Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,UTTAR PRADESH,PHULPUR,12,Praveen Patel,BJP,0,Post Graduate,45,Not Available,Not Available,Yes
2024,UTTAR PRADESH,PHULPUR,1,Akhilesh Tripathi,IND,0,Graduate Professional,50,"Rs 1,65,92,500 ~ 1 Crore+","Rs 18,40,000 ~ 18 Lacs+",No
2024,UTTAR PRADESH,PHULPUR,2,Amar Nath Singh Maurya,SP,2,Graduate Professional,54,"Rs 10,83,78,211 ~ 10 Crore+","Rs 3,66,54,813 ~ 3 Crore+",No
2024,UTTAR PRADESH,PHULPUR,3,Dr Neeraj,IND,0,Graduate,56,Not Available,Not Available,No
2024,UTTAR PRADESH,PHULPUR,4,Engg Yogesh Kushwaha,Pragatisheel Samaj Party,0,Others,54,"Rs 5,93,63,845 ~ 5 Crore+",Rs 0 ~,No
2024,UTTAR PRADESH,PHULPUR,5,Jagannath Pal,BSP,0,Post Graduate,63,"Rs 2,19,41,032 ~ 2 Crore+",Rs 0 ~,No
2024,UTTAR PRADESH,PHULPUR,6,Jila Jeet Bhartiy,Bahujan Awam Party,0,Post Graduate,38,Not Available,Not Available,No
2024,UTTAR PRADESH,PHULPUR,7,Lala Ram Saroj,Prabuddhwadi Bahujan Morcha,2,Graduate Professional,44,"Rs 8,63,132 ~ 8 Lacs+","Rs 4,30,000 ~ 4 Lacs+",No
2024,UTTAR PRADESH,PHULPUR,8,Mahima Patel,Apna Dal (Kamerawadi),0,Graduate Professional,28,"Rs 23,04,000 ~ 23 Lacs+",Rs 0 ~,No
2024,UTTAR PRADESH,PHULPUR,9,Mushir Ahmad Siddiqui,Peoples Party of India (Democratic),1,Graduate,38,Not Available,Not Available,No
2024,UTTAR PRADESH,PHULPUR,10,Nafis Ahamad,IND,0,5th Pass,55,"Rs 51,07,034 ~ 51 Lacs+",Rs 0 ~,No
2024,UTTAR PRADESH,PHULPUR,11,Pramod Bhai Patel Urf P K,Sardar Patel Siddhant Party,0,Graduate Professional,42,"Rs 31,98,000 ~ 31 Lacs+",Rs 0 ~,No
2024,UTTAR PRADESH,PHULPUR,13,Sangeeta Yadav,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,Post Graduate,32,"Rs 18,12,327 ~ 18 Lacs+",Rs 0 ~,No
2024,UTTAR PRADESH,PHULPUR,14,Sanjeev Kumar Mishra,Yuva Vikas Party,0,Post Graduate,45,"Rs 86,40,500 ~ 86 Lacs+","Rs 5,42,000 ~ 5 Lacs+",No
2024,UTTAR PRADESH,PHULPUR,15,Sunil Kumar Prajapati,Bhagidari Party(P),0,12th Pass,40,Not Available,Not Available,No
