Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,WEST BENGAL,DUM_DUM,10,Sougata Ray,AITC,1,Post Graduate,76,"Rs 5,12,30,026 ~ 5 Crore+",Rs 0 ~,Yes
2024,WEST BENGAL,DUM_DUM,1,Banamali Panda,SUCI(C),0,Post Graduate,50,"Rs 27,93,951 ~ 27 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,DUM_DUM,2,Dulu Dey,IND,0,10th Pass,52,"Rs 24,19,092 ~ 24 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,DUM_DUM,3,Gouri Biswas,IND,0,Graduate,48,Not Available,Not Available,No
2024,WEST BENGAL,DUM_DUM,4,Hari Pada Biswas,Mulnibasi Party of India,0,Graduate,51,"Rs 10,75,000 ~ 10 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No
2024,WEST BENGAL,DUM_DUM,5,Hirak Sinha,IND,0,Post Graduate,47,"Rs 33,73,102 ~ 33 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,DUM_DUM,6,Manika Mukherjee,Bharatiya Nyay-Adhikar Raksha Party,0,Graduate Professional,49,Not Available,Not Available,No
2024,WEST BENGAL,DUM_DUM,7,Santanu Mandal,Democratic Socialist Party of India,0,Graduate,52,"Rs 11,15,116 ~ 11 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,DUM_DUM,8,Shekh Imanur Rahman,IND,1,Graduate Professional,33,"Rs 12,73,451 ~ 12 Lacs+","Rs 41,640 ~ 41 Thou+",No
2024,WEST BENGAL,DUM_DUM,9,Silbhadra Datta,BJP,2,Post Graduate,65,Not Available,Not Available,No
2024,WEST BENGAL,DUM_DUM,11,Subrata Bhowmik,Mera Bharat Mahan Party,0,Others,65,"Rs 51,84,000 ~ 51 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,DUM_DUM,12,Sujan Chakraborty,CPI(M),1,Doctorate,65,Not Available,Not Available,No
2024,WEST BENGAL,DUM_DUM,13,Swami Nath Kori,BSP,0,10th Pass,54,"Rs 32,43,404 ~ 32 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,DUM_DUM,14,Tridib Bhunia,IND,0,Doctorate,39,"Rs 78,21,000 ~ 78 Lacs+","Rs 23,00,000 ~ 23 Lacs+",No
