Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,WEST BENGAL,HOOGHLY,8,Rachna Banerjee,AITC,0,12th Pass,51,"Rs 35,53,17,030 ~ 35 Crore+",Rs 0 ~,Yes
2024,WEST BENGAL,HOOGHLY,1,Ajanta Sarkar,Bharatiya National Janata Dal,0,Graduate,59,"Rs 9,77,700 ~ 9 Lacs+","Rs 16,938 ~ 16 Thou+",No
2024,WEST BENGAL,HOOGHLY,2,Jamini Bhar,BSP,0,12th Pass,74,"Rs 11,77,426 ~ 11 Lacs+","Rs 99,900 ~ 99 Thou+",No
2024,WEST BENGAL,HOOGHLY,3,Locket Chatterjee,BJP,22,Graduate,49,Not Available,Not Available,No
2024,WEST BENGAL,HOOGHLY,4,Manadip Ghosh,CPI(M),0,Graduate,55,"Rs 32,12,576 ~ 32 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,HOOGHLY,5,Mrinal Kanti Das,IND,0,10th Pass,66,"Rs 10,28,700 ~ 10 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,HOOGHLY,6,Paban Mazumder,SUCI(C),0,Graduate,46,Not Available,Not Available,No
2024,WEST BENGAL,HOOGHLY,7,Pradip Pal,Bharatiya Nyay-Adhikar Raksha Party,0,12th Pass,47,"Rs 1,72,000 ~ 1 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,HOOGHLY,9,Samim Ali Mollick,IND,0,Graduate,44,Not Available,Not Available,No
2024,WEST BENGAL,HOOGHLY,10,Sanchita Bera,IND,0,10th Pass,41,"Rs 5,30,000 ~ 5 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,HOOGHLY,11,Sk Kamaluddin,IND,7,8th Pass,52,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,No
2024,WEST BENGAL,HOOGHLY,12,Surajit Hembram,IND,0,10th Pass,48,Not Available,Not Available,No
