Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,WEST BENGAL,JAYNAGAR,6,Pratima Mondal,AITC,0,Post Graduate,58,Not Available,Not Available,Yes
2024,WEST BENGAL,JAYNAGAR,1,Ashok Kandary,BJP,0,Graduate Professional,48,"Rs 20,01,52,336 ~ 20 Crore+",Rs 0 ~,No
2024,WEST BENGAL,JAYNAGAR,2,Juran Chandra Pandey,Mulnibasi Party of India,0,Literate,52,"Rs 1,35,214 ~ 1 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,JAYNAGAR,3,Meghnath Halder,All India Secular Front,0,Post Graduate,67,Not Available,Not Available,No
2024,WEST BENGAL,JAYNAGAR,4,Milan Naskar,IND,0,12th Pass,36,"Rs 4,62,119 ~ 4 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,JAYNAGAR,5,Niranjan Naskar,SUCI(C),0,12th Pass,55,"Rs 27,78,649 ~ 27 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,JAYNAGAR,7,Pratima Mondal,IND,0,8th Pass,40,"Rs 95,000 ~ 95 Thou+",Rs 0 ~,No
2024,WEST BENGAL,JAYNAGAR,8,Samarendra Nath Mondal,Revolutionary Socialist Party,2,10th Pass,63,"Rs 70,65,334 ~ 70 Lacs+","Rs 2,83,348 ~ 2 Lacs+",No
2024,WEST BENGAL,JAYNAGAR,9,Shankar Deb Mondal,BSP,0,12th Pass,69,Not Available,Not Available,No
2024,WEST BENGAL,JAYNAGAR,10,Sindhupada Bairagi,IND,0,8th Pass,47,"Rs 20,06,200 ~ 20 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,JAYNAGAR,11,Sujan Sardar,IND,0,12th Pass,46,"Rs 4,92,000 ~ 4 Lacs+","Rs 1,70,000 ~ 1 Lacs+",No
