Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,WEST BENGAL,JHARGRAM,8,Kalipada Saren Kherwal,AITC,0,Post Graduate,66,"Rs 1,30,23,236 ~ 1 Crore+","Rs 2,05,892 ~ 2 Lacs+",Yes
2024,WEST BENGAL,JHARGRAM,1,Arunkumar Hansda,BSP,0,12th Pass,61,"Rs 1,93,12,659 ~ 1 Crore+",Rs 0 ~,No
2024,WEST BENGAL,JHARGRAM,2,Bapi Soren,All India Secular Front,0,Post Graduate,34,"Rs 11,83,079 ~ 11 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2024,WEST BENGAL,JHARGRAM,3,Barun Mahato,IND,0,Graduate,42,Not Available,Not Available,No
2024,WEST BENGAL,JHARGRAM,4,Biplab Hembram,IND,0,Graduate,26,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No
2024,WEST BENGAL,JHARGRAM,5,Birsabir Baskey,Ambedkarite Party of India,0,12th Pass,35,"Rs 64,800 ~ 64 Thou+",Rs 0 ~,No
2024,WEST BENGAL,JHARGRAM,6,Dr Pranat Tudu,BJP,0,Others,46,Not Available,Not Available,No
2024,WEST BENGAL,JHARGRAM,7,Gunadhar Sing,IND,0,Graduate Professional,58,"Rs 92,06,486 ~ 92 Lacs+","Rs 1,118 ~ 1 Thou+",No
2024,WEST BENGAL,JHARGRAM,9,Ramanath Orang,IND,0,8th Pass,28,Not Available,Not Available,No
2024,WEST BENGAL,JHARGRAM,10,Sonamani Tudu,CPI(M),0,Post Graduate,35,"Rs 4,46,169 ~ 4 Lacs+","Rs 1,55,000 ~ 1 Lacs+",No
2024,WEST BENGAL,JHARGRAM,11,Surendranath Sing,IND,0,12th Pass,56,"Rs 16,43,784 ~ 16 Lacs+","Rs 11,64,409 ~ 11 Lacs+",No
2024,WEST BENGAL,JHARGRAM,12,Surya Singh Besra,Jharkhand Peoples Party,2,Post Graduate,62,Not Available,Not Available,No
2024,WEST BENGAL,JHARGRAM,13,Sushil Mandi,SUCI(C),0,Graduate,43,"Rs 6,54,890 ~ 6 Lacs+",Rs 0 ~,No
