Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,WEST BENGAL,KOLKATA_DAKSHIN,5,Mala Roy,AITC,1,Graduate,66,"Rs 1,53,97,092 ~ 1 Crore+","Rs 7,95,517 ~ 7 Lacs+",Yes
2024,WEST BENGAL,KOLKATA_DAKSHIN,1,Atanu Das,IND,0,Graduate Professional,41,"Rs 26,41,700 ~ 26 Lacs+","Rs 4,70,519 ~ 4 Lacs+",No
2024,WEST BENGAL,KOLKATA_DAKSHIN,2,Debasree Chaudhuri,BJP,3,Post Graduate,52,"Rs 2,17,99,523 ~ 2 Crore+",Rs 0 ~,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,3,Dipendu Hazra,IND,0,12th Pass,55,Not Available,Not Available,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,4,Firoza Khatun,BSP,0,5th Pass,43,"Rs 51,10,125 ~ 51 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,6,Md. Shakil Warsi,IND,0,10th Pass,46,Not Available,Not Available,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,7,Mridul Ojha,IND,0,Post Graduate,33,"Rs 4,51,976 ~ 4 Lacs+","Rs 2,34,613 ~ 2 Lacs+",No
2024,WEST BENGAL,KOLKATA_DAKSHIN,8,Mukti,Right to Recall Party,0,12th Pass,26,"Rs 3,15,000 ~ 3 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,9,Mumtaz Ali,IND,0,Graduate,37,Not Available,Not Available,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,10,Niraj Agarwal,IND,0,Graduate,42,"Rs 1,33,99,361 ~ 1 Crore+",Rs 0 ~,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,11,Saira Shah Halim,CPI(M),0,Post Graduate,46,"Rs 4,41,96,815 ~ 4 Crore+",Rs 0 ~,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,12,Sanjana Ram,IND,0,Graduate,45,Not Available,Not Available,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,13,Sanjoy (Rana) Chanda,Kisan Mazdoor Sangharsh Party,0,12th Pass,59,"Rs 54,664 ~ 54 Thou+",Rs 0 ~,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,14,Santanu Roy,IND,0,12th Pass,51,"Rs 1,00,79,896 ~ 1 Crore+",Rs 0 ~,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,15,Susanta Mondal,IND,0,Graduate Professional,31,Not Available,Not Available,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,16,Yasmin Islam,Social Democratic Party Of India,0,12th Pass,42,"Rs 34,36,438 ~ 34 Lacs+",Rs 0 ~,No
2024,WEST BENGAL,KOLKATA_DAKSHIN,17,Zubair Rabbani,SUCI(C),0,12th Pass,61,"Rs 19,127 ~ 19 Thou+",Rs 0 ~,No
