sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Shaik Mastan Vali,GUNTUR EAST,INC,0,Post Graduate,1000000,0,https://www.myneta.info/ap09/candidate.php?candidate_id=2984,bye_election
2,Dasyam Vinay Bhaskar,Warangal West: Bye Election on 2010,TRS,0,Graduate,3683269,825000,https://www.myneta.info/ap09/candidate.php?candidate_id=3256,bye_election
3,Nallala Odelu,Chennur: Bye Election on 2010,TRS,0,Graduate,,,https://www.myneta.info/ap09/candidate.php?candidate_id=3225,bye_election
4,Eshwar Koppula,Dharmapuri: Bye Election on 2010,TRS,0,Graduate,2661434,720000,https://www.myneta.info/ap09/candidate.php?candidate_id=3241,bye_election
5,Eatela Rajender,Huzurabad: Bye Election on 2010,TRS,0,Graduate,79609000,12460527,https://www.myneta.info/ap09/candidate.php?candidate_id=3249,bye_election
6,Kalvakuntla Vidyasagar Rao,Koratla: Bye Election on 2010,TRS,0,Graduate,,,https://www.myneta.info/ap09/candidate.php?candidate_id=3237,bye_election
7,Aravind Reddy Gaddam,Mancherial: Bye Election on 2010,TRS,0,10th Pass,21135389,0,https://www.myneta.info/ap09/candidate.php?candidate_id=3228,bye_election
8,Thanneeru Harish Rao,Siddipet: Bye Election on 2010,TRS,0,Graduate,6756684,634701,https://www.myneta.info/ap09/candidate.php?candidate_id=3252,bye_election
9,K.Taraka Ramarao (KTR),Sircilla: Bye Election on 2010,TRS,0,Post Graduate,,,https://www.myneta.info/ap09/candidate.php?candidate_id=3246,bye_election
10,Kaveti Sammaiah,Sirpur: Bye Election on 2010,TRS,0,5th Pass,23931313,3891000,https://www.myneta.info/ap09/candidate.php?candidate_id=3223,bye_election
11,Korla Bharathi,Tekkali: Bye - Election on 10-09-2009,INC,0,10th Pass,6879802,1432636,https://www.myneta.info/ap09/candidate.php?candidate_id=3258,bye_election
12,Ramesh Chennamaneni,Vemulawada: Bye Election on 2010,TRS,0,Doctorate,,,https://www.myneta.info/ap09/candidate.php?candidate_id=3244,bye_election
13,Eanugu Ravinder Reddy,Yellareddy: Bye Election on 2010,TRS,0,12th Pass,24634589,450000,https://www.myneta.info/ap09/candidate.php?candidate_id=3232,bye_election
