sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Kanna Lakshmi Narayana,GUNTUR WEST,INC,0,Graduate,28045883,3677143,https://www.myneta.info/ap09/candidate.php?candidate_id=2964,main_election
2,Kurasala Kannababu,KAKINADA RURAL,PRAP,0,Post Graduate,553590,0,https://www.myneta.info/ap09/candidate.php?candidate_id=2655,main_election
3,Routu Surya Prakasa Rao,RAJAHMUNDRY CITY,INC,3,Graduate Professional,,,https://www.myneta.info/ap09/candidate.php?candidate_id=2807,main_election
4,Baswaraju Saraiah,WARANGAL EAST,INC,0,10th Pass,6436500,350000,https://www.myneta.info/ap09/candidate.php?candidate_id=654,main_election
5,D Vinaya Bhasker,WARANGAL WEST,TRS,2,Graduate,3871867,0,https://www.myneta.info/ap09/candidate.php?candidate_id=639,main_election
6,P.Ramulu,ACHAMPET (SC),TDP,0,Graduate,,,https://www.myneta.info/ap09/candidate.php?candidate_id=386,main_election
7,SATYANARAYANA PITHANI,ACHANTA,INC,0,Graduate,35626923,0,https://www.myneta.info/ap09/candidate.php?candidate_id=3101,main_election
8,Jogu Ramanna,ADILABAD,TDP,1,12th Pass,3238000,130000,https://www.myneta.info/ap09/candidate.php?candidate_id=138,main_election
9,K.Meenakshi Naidu,ADONI,TDP,1,12th Pass,,,https://www.myneta.info/ap09/candidate.php?candidate_id=3123,main_election
10,Budida Bikshamaiah,ALAIR,INC,0,Post Graduate,10310000,2325000,https://www.myneta.info/ap09/candidate.php?candidate_id=558,main_election
11,Abraham V.M,ALAMPUR (SC),INC,0,Graduate Professional,5470000,0,https://www.myneta.info/ap09/candidate.php?candidate_id=351,main_election
12,Bhuma Shobha Nagi Reddy,ALLAGADDA,PRAP,0,12th Pass,,,https://www.myneta.info/ap09/candidate.php?candidate_id=3111,main_election
13,Patil Neeraja Reddy,ALUR,INC,0,Post Graduate,10058304,0,https://www.myneta.info/ap09/candidate.php?candidate_id=3124,main_election
14,Boddepalli Satyavathi,AMADALAVALASA,INC,0,Post Graduate,3820286,0,https://www.myneta.info/ap09/candidate.php?candidate_id=42,main_election
15,Viswarupa Pinipe,AMALAPURAM (SC),INC,0,Post Graduate,,,https://www.myneta.info/ap09/candidate.php?candidate_id=2745,main_election
16,G.Kishan Reddy,AMBERPET,BJP,0,10th Pass,43561592,0,https://www.myneta.info/ap09/candidate.php?candidate_id=822,main_election
17,B. Gunatha Reddy,ANANTAPUR URBAN,INC,0,Not Given,28238318,508716,https://www.myneta.info/ap09/candidate.php?candidate_id=1998,main_election
18,Nallamilli Sheshareddy,ANAPARTHY,INC,0,Post Graduate,,,https://www.myneta.info/ap09/candidate.php?candidate_id=2679,main_election
