sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,SHIVESH KUMAR,Agiaon (SC),BJP,1,Graduate,5639908,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2008,main_election
2,NARENDRA NARAYAN YADAV,Alamnagar,JD(U),0,Graduate,3914765,426864,https://www.myneta.info/bih2010/candidate.php?candidate_id=74,main_election
3,Ram Chandra Sada,Alauli (SC),JD(U),0,12th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1574,main_election
4,JANARDAN MANJHI,Amarpur,JD(U),0,10th Pass,7446000,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1620,main_election
5,Krishan Kumar,Amnour,JD(U),4,Literate,15461224,513211,https://www.myneta.info/bih2010/candidate.php?candidate_id=1511,main_election
6,Zakir Hussin Khan,Araria,LJP,10,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=139,main_election
7,AMRENDRA PRATAP SINGH,Arrah,BJP,0,Graduate,3258125,4245,https://www.myneta.info/bih2010/candidate.php?candidate_id=2001,main_election
8,Chitranjan Kumar,Arwal,BJP,5,12th Pass,1580820,74944,https://www.myneta.info/bih2010/candidate.php?candidate_id=2034,main_election
9,Jitendra Kumar,Asthawan,JD(U),1,Doctorate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1899,main_election
10,KRISHNA NANDAN YADAV,Atri,JD(U),0,Doctorate,321000,175000,https://www.myneta.info/bih2010/candidate.php?candidate_id=2160,main_election
11,RAM SURAT RAI,Aurai,BJP,1,Graduate,8501493,6925263,https://www.myneta.info/bih2010/candidate.php?candidate_id=1093,main_election
12,RAMADHAR SINGH,Aurangabad,BJP,5,12th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=2707,main_election
13,Uma Kant Yadav,Babubarhi,RJD,1,Post Graduate,2990439,225000,https://www.myneta.info/bih2010/candidate.php?candidate_id=539,main_election
14,AVADESH KUMAR RAY,Bachhwara,CPI,1,12th Pass,3012000,50000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1711,main_election
15,Prabhat Ranjan Singh,Bagaha,JD(U),1,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1524,main_election
16,Mohammad Tousif Alam,Bahadurganj,INC,6,10th Pass,3294369,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=28,main_election
17,MADAN SAHNI,Bahadurpur,JD(U),1,Graduate,1863884,696647,https://www.myneta.info/bih2010/candidate.php?candidate_id=1466,main_election
18,MANJEET KUMAR SINGH,Baikunthpur,JD(U),0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=711,main_election
19,Santosh Kumar,Baisi,BJP,1,12th Pass,5048601,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=291,main_election
20,Ranju Geeta,Bajpatti,JD(U),2,Doctorate,8759626,149331,https://www.myneta.info/bih2010/candidate.php?candidate_id=1313,main_election
21,RAMANAND RAM,Bakhri (SC),BJP,0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1769,main_election
22,Aniruddh Kumar,Bakhtiarpur,RJD,5,12th Pass,11226000,962340,https://www.myneta.info/bih2010/candidate.php?candidate_id=1544,main_election
23,DULAL CHANDRA GOSHWAMI,Balrampur,IND,1,Graduate,3207601,158891,https://www.myneta.info/bih2010/candidate.php?candidate_id=689,main_election
24,Kedarnath Singh,Baniapur,RJD,4,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1490,main_election
25,JAVED IQBAL ANSARI,Banka,RJD,0,Doctorate,7514896,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1627,main_election
26,Nitin Nabin,Bankipur,BJP,0,12th Pass,612414,165818,https://www.myneta.info/bih2010/candidate.php?candidate_id=1814,main_election
27,Krishna Kumar Rishi,Banmankhi (SC),BJP,5,12th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=313,main_election
28,JYOTI DEVI,Barachatti (SC),JD(U),0,10th Pass,1768713,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2634,main_election
29,BIBHASHA CHANDRA CHOUDHARY,Barari,BJP,2,Post Graduate,4847780,14153,https://www.myneta.info/bih2010/candidate.php?candidate_id=467,main_election
30,RAM PRAVESH RAI,Barauli,BJP,2,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=727,main_election
31,GAJANAND SHAHI,Barbigha,JD(U),0,Graduate Professional,57789000,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1898,main_election
32,Gyanendra Kumar Singh,Barh,JD(U),0,Graduate,8978669,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1538,main_election
33,RAGHVENDRA PRATAP SINGH,Barhara,RJD,4,10th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1989,main_election
