sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Ramdeo Yadav,BELHAR : BYE ELECTION ON 21-10-2019,RJD,0,Graduate,19760996,189048,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3753,bye_election
2,Rinki Rani Pandey,BHABUA: BYE- ELECTION ON 11-03-2018,BJP,0,10th Pass,4749558,1344000,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3701,bye_election
3,Karnjeet Singh Alias Vyas Singh,DARAUNDHA : BYE ELECTION ON 21-10-2019,IND,0,12th Pass,,,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3781,bye_election
4,Satyanarayan Singh,DEHRI : BYE ELECTION ON 19-05-2019,BJP,0,Graduate Professional,33926611,5749982,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3732,bye_election
5,Sudhanshu Shekhar,HARLAKHI : BYE- ELECTION ON 13-02-2016,JD(U),0,Graduate,5512615,86340,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3677,bye_election
6,Kumar Krishna Mohan Suday Yadav,JEHANABAD : BYE- ELECTION ON 11-03-2018,RJD,0,Post Graduate,,,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3681,bye_election
7,Shahnawaz,JOKIHAT : BYE- ELECTION ON 28-05-2018,RJD,0,Graduate Professional,24901719,722032,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3711,bye_election
8,Qamrul Hoda,KISHANGANJ : BYE ELECTION ON 21-10-2019,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,22798930,200000,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3758,bye_election
9,Laxmikant Mandal,NATHNAGAR : BYE ELECTION ON 21-10-2019,JD(U),0,10th Pass,,,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3774,bye_election
10,Kaushal Yadav,NAWADA : BYE ELECTION ON 11-04-2019,JD(U),0,Post Graduate,226511149,27329159,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3722,bye_election
11,Zafar Alam,SIMRI BAKHTIARPUR : BYE ELECTION ON 21-10-2019,RJD,0,Graduate,8257426,1849505,https://www.myneta.info/bihar2015/candidate.php?candidate_id=3782,bye_election
