sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Jadeja Pradhyumansinh Mahipatsinh,ABDASA : BYE ELECTION ON 03-11-2020,BJP,0,Literate,10878756,1580000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5861,bye_election
2,Jagdish Ishwarbhai Patel,AMRAIWADI : BYE ELECTION ON 21-10-2019,BJP,0,Post Graduate,27027664,4988572,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5817,bye_election
3,Patel Vijaybhai Rameshbhai,DANGS (ST) : BYE ELECTION ON 03-11-2020,BJP,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5862,bye_election
4,Kakadiya J. V.,DHARI : BYE ELECTION ON 03-11-2020,BJP,0,Graduate,28658600,979000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5864,bye_election
5,Parsotam Ukabhai Sabariya,DHRANGADHRA : BYE ELECTION ON 23-04-2019,BJP,0,5th Pass,53733617,18017633,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5784,bye_election
6,Atmaram Makanbhai Parmar,GADHADA (SC) : BYE ELECTION ON 03-11-2020,BJP,0,Post Graduate,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5894,bye_election
7,Patel Raghavjibhai Hansrajbhai,JAMNAGAR RURAL : BYE ELECTION ON 23-04-2019,BJP,0,Graduate Professional,73787079,10638517,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5803,bye_election
8,Bavaliya Kunvarjibhai Mohanbhai,JASDAN (BYE ELECTION 20-12-2018),BJP,0,Graduate Professional,17516370,0,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5765,bye_election
9,Jitubhai Chaudhari,KAPRADA (ST) : BYE ELECTION ON 03-11-2020,BJP,0,8th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5860,bye_election
10,Akshaykumar,KARJAN : BYE ELECTION ON 03-11-2020,BJP,0,12th Pass,52882200,10117847,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5867,bye_election
11,Ajmalji Valaji Thakor,KHERALU : BYE ELECTION ON 21-10-2019,BJP,0,Graduate Professional,6804282,2549922,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5820,bye_election
12,Kiritsinh Jitubha Rana,LIMBDI : BYE ELECTION ON 03-11-2020,BJP,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5920,bye_election
13,Jigneshkumar Sevak,LUNAWADA : BYE ELECTION ON 21-10-2019,BJP,0,Graduate Professional,18120154,9059581,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5840,bye_election
14,Chavda Jawaharbhai Pethaljibhai,MANAVADAR : BYE ELECTION ON 23-04-2019,BJP,0,10th Pass,1121809566,108246759,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5796,bye_election
15,Brijesh Merja,MORBI : BYE ELECTION ON 03-11-2020,BJP,0,Graduate,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5933,bye_election
16,Suthar Nimishaben Manharsinh,MORVA HADAF (ST) : BYE ELECTION ON 17-04-2021,BJP,0,Graduate,4762788,0,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5950,bye_election
17,Desai Raghubhai Merajbhai,RADHANPUR : BYE ELECTION ON 21-10-2019,INC,0,12th Pass,1155548451,3114921,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5844,bye_election
18,Barad Bhagvanbhai Dhanabhai,TALALA,INC,0,Graduate,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3994,bye_election
19,Rajput Gulabsinh Pirabhai,THARAD : BYE ELECTION ON 21-10-2019,INC,0,Graduate,13517174,1300128,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5854,bye_election
