sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Lokender Kumar,ANNI (SC),BJP,10,Post Graduate,2900000,45000,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=63,main_election
2,Sanjay,ARKI,INC,1,Graduate,28995613,2384244,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=50,main_election
3,Kishori Lal,BAIJNATH (SC),INC,0,10th Pass,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=159,main_election
4,Inder Singh,BALH (SC),BJP,0,10th Pass,34787034,5683462,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=6,main_election
5,Surender Shourie,BANJAR,BJP,0,Graduate,8948181,3583322,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=21,main_election
6,Inder Dutt Lakhanpal,BARSAR,INC,1,Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=30,main_election
7,Dr. Janak Raj,BHARMOUR (ST),BJP,0,Post Graduate,51434104,8194556,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=127,main_election
8,Kuldeep Singh Pathania,BHATTIYAT,INC,1,Graduate Professional,86330489,1574346,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=137,main_election
9,Suresh Kumar,BHORANJ (SC),INC,0,Post Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=104,main_election
10,Trilok Jamwal,BILASPUR,BJP,0,Post Graduate,30244106,759623,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=225,main_election
11,Neeraj Nayar,CHAMBA,INC,1,Graduate,85655643,39880496,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=132,main_election
12,Sudarshan Singh Babloo,CHINTPURNI (SC),INC,3,12th Pass,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=381,main_election
13,Balbir Singh Verma,CHOPAL,BJP,0,12th Pass,1284525778,22610354,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=208,main_election
14,Hans Raj,CHURAH (SC),BJP,2,Doctorate,22954981,3655656,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=125,main_election
15,Dhavinder Singh,DALHOUSIE,BJP,0,10th Pass,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=134,main_election
16,Puran Chand,DARANG,BJP,0,10th Pass,16313928,0,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=85,main_election
17,Hoshyar Singh,DEHRA,IND,0,12th Pass,51535339,12434394,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=147,main_election
18,Chander Shekhar,DHARAMPUR,INC,1,Graduate Professional,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=329,main_election
19,Sudhir Sharma,DHARAMSHALA,INC,0,Graduate,86167906,6044159,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=53,main_election
20,Ram Kumar,DOON,INC,1,Post Graduate,737621068,80557202,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=24,main_election
21,Bhawani Singh Pathania,FATEHPUR,INC,0,Graduate Professional,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=17,main_election
22,Chaitanya Sharma,GAGRET,INC,0,Graduate Professional,82995054,5214946,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=184,main_election
23,Rajesh Dharmani,GHUMARWIN,INC,1,Post Graduate,13294907,365614,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=11,main_election
24,Ashish Sharma,HAMIRPUR,IND,0,Graduate Professional,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=160,main_election
25,Mukesh Agnihotri,HAROLI,INC,5,Post Graduate,54732433,4916666,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=22,main_election
26,Malender Rajan,INDORA (SC),INC,0,Graduate Professional,13276958,0,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=263,main_election
27,Yadvinder Goma,JAISINGHPUR (SC),INC,0,Post Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=474,main_election
28,Bikram Singh,JASWAN-PRAGPUR,BJP,0,Graduate Professional,24160925,5420181,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=13,main_election
29,Sanjay Rattan,JAWALAMUKHI,INC,0,Post Graduate,41679522,3296938,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=151,main_election
30,Chander Kumar,JAWALI,INC,0,Post Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=143,main_election
31,Jeet Ram Katwal,JHANDUTA (SC),BJP,1,Post Graduate,34227344,1952760,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=116,main_election
32,Prakash Prem Kumar,JOGINDERNAGAR,BJP,0,10th Pass,254026994,0,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=88,main_election
33,Rohit Thakur,JUBBAL-KOTKHAI,INC,0,Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=216,main_election
34,Pawan Kumar Kajal,KANGRA,BJP,0,10th Pass,132172679,2522943,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=289,main_election
35,Deep Raj,KARSOG (SC),BJP,0,Graduate Professional,17949685,1500000,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=54,main_election
36,Vinod Sultanpuri,KASAULI (SC),INC,0,Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=413,main_election
37,Anirudh Singh,KASUMPTI,INC,4,Graduate,102093247,67780000,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=211,main_election
38,Jagat Singh Negi,KINNAUR (ST),INC,1,Graduate Professional,33804779,3250603,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=236,main_election
39,Sunder Singh Thakur,KULLU,INC,1,Graduate Professional,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=25,main_election
40,Davinder Kumar,KUTLEHAR,INC,0,12th Pass,59000000,40000000,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=186,main_election
41,Ravi Thakur,LAHAUL AND SPITI (ST),INC,0,Graduate,122794142,41439467,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=41,main_election
42,Bhuvneshwar Gaur,MANALI,INC,3,Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=365,main_election
43,Anil Sharma,MANDI,BJP,0,Graduate,574841205,6827489,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=179,main_election
44,Vinod Kumar,NACHAN (SC),BJP,0,12th Pass,21409897,2744431,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=97,main_election
45,Sukhvinder Singh,NADAUN,INC,4,Post Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=100,main_election
46,R.S. Bali,NAGROTA,INC,3,Graduate Professional,923627042,61871356,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=156,main_election
47,Ajay Solanki,NAHAN,INC,2,12th Pass,11863806,0,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=199,main_election
48,K. L. Thakur,NALAGARH,IND,0,Graduate Professional,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=189,main_election
49,Ranbir Singh,NURPUR,BJP,1,10th Pass,158410000,3000000,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=138,main_election
50,Reena,PACHHAD (SC),BJP,0,Post Graduate,12121682,4214263,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=196,main_election
51,Ashish Butail,PALAMPUR,INC,0,Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=110,main_election
52,Sukh Ram,PAONTA SAHIB,BJP,0,12th Pass,22771551,8570000,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=204,main_election
53,Nand Lal,RAMPUR (SC),INC,4,Post Graduate,28545011,1434148,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=220,main_election
54,Mohan Lal Brakta,ROHRU (SC),INC,3,Graduate Professional,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=221,main_election
55,Dalip Thakur,SARKAGHAT,BJP,0,10th Pass,6615239,0,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=341,main_election
56,Jai Ram Thakur,SERAJ,BJP,0,Graduate,62847718,2688280,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=10,main_election
57,Kewal Singh,SHAHPUR,INC,0,Post Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=111,main_election
58,Harshwardhan Chauhan,SHILLAI,INC,1,Graduate Professional,136483615,4518660,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=206,main_election
59,Harish Janartha,SHIMLA,INC,1,Graduate,46640142,3000000,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=212,main_election
60,Vikramaditya Singh,SHIMLA RURAL,INC,11,Post Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=84,main_election
61,Dhani Ram Shandil,SOLAN (SC),INC,1,Doctorate,41297517,4944428,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=192,main_election
62,Randhir Sharma,SRI NAINA DEVIJI,BJP,0,Post Graduate,55840585,1200000,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=82,main_election
63,Vinay Kumar,SRI RENUKAJI (SC),INC,0,10th Pass,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=79,main_election
64,Rajinder Singh,SUJANPUR,INC,0,Graduate,319728503,3734978,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=75,main_election
65,Vipin Singh Parmar,SULLAH,BJP,0,Graduate Professional,53768739,4833338,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=72,main_election
66,Rakesh Kumar,SUNDERNAGAR,BJP,0,Graduate,,,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=70,main_election
67,Kuldeep Singh Rathore,THEOG,INC,8,Post Graduate,42131523,0,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=69,main_election
68,Satpal Singh Satti,UNA,BJP,1,Post Graduate,26561671,566581,https://www.myneta.info/HimachalPradesh2022/candidate.php?candidate_id=397,main_election
