sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Mohan Lal,AKHNOOR (SC),BJP,0,Post Graduate,35248098,7287577,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=634,main_election
2,Peerzada Mohammad Syed,ANANTNAG,INC,0,Graduate Professional,52948824,3000000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=217,main_election
3,Abdul Majeed Bhat,ANANTNAG WEST,Jammu & Kashmir National Conference,0,Graduate Professional,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=96,main_election
4,Vikram Randhawa,BAHU,BJP,4,12th Pass,138669225,11978901,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=765,main_election
5,Nizam Uddin Bhat,BANDIPORA,INC,0,Graduate Professional,23567896,2379934,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=902,main_election
6,Dr Rameshwar Singh,BANI,IND,0,Graduate Professional,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=911,main_election
7,Sajad Shaheen,BANIHAL,Jammu & Kashmir National Conference,0,Graduate,112484339,628000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=150,main_election
8,Javid Hassan Baig,BARAMULLA,Jammu & Kashmir National Conference,0,Graduate,75159000,896000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=720,main_election
9,Darshan Kumar,BASOHLI,BJP,0,10th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=579,main_election
10,Shafi Ahmad Wani,BEERWAH,Jammu & Kashmir National Conference,0,Graduate Professional,224159000,800000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=441,main_election
11,Daleep Singh,BHADARWAH,BJP,0,10th Pass,20331129,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=126,main_election
12,Satish Kumar Sharma,BILLAWAR,BJP,0,10th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=645,main_election
13,Rajeev Kumar,BISHNAH (SC),BJP,0,Graduate Professional,38242092,8501880,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=774,main_election
14,Omar Abdullah,BUDGAM,Jammu & Kashmir National Conference,0,Graduate,5524430,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=518,main_election
15,Javaid Iqbal,BUDHAL (ST),Jammu & Kashmir National Conference,0,Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=473,main_election
16,Tariq Hameed Karra,CENTRAL SHALTENG,INC,0,Graduate Professional,1484417570,1268938,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=526,main_election
17,Ali Mohammad Dar,CHADOORA,Jammu & Kashmir National Conference,0,12th Pass,63994014,5092000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=389,main_election
18,Mushtaq Guroo,CHANNAPORA,Jammu & Kashmir National Conference,0,Others,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=334,main_election
19,Advocate Abdul Rahim Rather,CHARAR-I-SHARIEF,Jammu & Kashmir National Conference,0,Post Graduate,112450385,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=341,main_election
20,Balwant Singh Mankotia,CHENANI,BJP,0,Post Graduate,23578363,3885241,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=907,main_election
21,Satish Sharma,CHHAMB,IND,0,Post Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=935,main_election
22,Sakeena Masood,D.H. PORA,Jammu & Kashmir National Conference,0,Graduate Professional,22504787,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=5,main_election
23,Peerzada Feroze Ahamad,DEVSAR,Jammu & Kashmir National Conference,1,8th Pass,30535505,460000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=79,main_election
24,Mehraj Malik,DODA,AAP,6,Post Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=133,main_election
25,Shakti Raj Parihar,DODA WEST,BJP,0,12th Pass,43263188,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=143,main_election
26,Gulam Ahmad Mir,DOORU,INC,0,Graduate,177070003,5941159,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=85,main_election
27,Mubarik Gul,EIDGAH,Jammu & Kashmir National Conference,0,Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=282,main_election
28,Omar Abdullah,GANDERBAL,Jammu & Kashmir National Conference,0,Graduate,5524430,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=363,main_election
29,Khurshied Ahmed,GULABGARH (ST),Jammu & Kashmir National Conference,0,Graduate Professional,24837354,475507,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=343,main_election
30,Pirzada Farooq Ahmed Shah,GULMARG,Jammu & Kashmir National Conference,0,Graduate Professional,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=722,main_election
31,Nazir Ahmad Khan,GUREZ (ST),Jammu & Kashmir National Conference,0,Graduate,79918780,28507520,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=607,main_election
32,Shamim Firdous,HABBAKADAL,Jammu & Kashmir National Conference,0,Graduate Professional,62040000,1317000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=319,main_election
33,Sajad Gani Lone,HANDWARA,Jammu & Kashmir People Conference,0,Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=1023,main_election
34,Salman Sagar,HAZRATBAL,Jammu & Kashmir National Conference,0,Graduate,50340000,16240042,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=315,main_election
35,Vijay Kumar,HIRANAGAR,BJP,0,Graduate Professional,13645978,1450495,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=580,main_election
36,Payare Lal Sharma,INDERWAL,IND,0,8th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=235,main_election
37,Yudhvir Sethi,JAMMU EAST,BJP,0,Graduate,73406808,1612195,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=943,main_election
38,Sham Lal Sharma,JAMMU NORTH,BJP,0,10th Pass,201365239,12490062,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=621,main_election
39,Arvind Gupta,JAMMU WEST,BJP,0,12th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=630,main_election
40,Rajiv Jasrotia,JASROTA,BJP,0,Graduate,188889254,26270388,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=820,main_election
41,Randhir Singh,KALAKOTE - SUNDERBANI,BJP,1,10th Pass,266204000,93099000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=308,main_election
42,Mian Mehar Ali,KANGAN (ST),Jammu & Kashmir National Conference,1,Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=283,main_election
43,Javaid Ahmad Mirchal,KARNAH,Jammu & Kashmir National Conference,0,Post Graduate,303122,500000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=591,main_election
44,Dr. Bharat Bhushan,KATHUA (SC),BJP,0,Post Graduate,40223135,2986241,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=916,main_election
45,Saif Ud Din Bhat,KHANSAHIB,Jammu & Kashmir National Conference,0,Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=387,main_election
46,Ali Mohammad Sagar,KHANYAR,Jammu & Kashmir National Conference,0,Graduate Professional,74872058,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=318,main_election
47,Shagun Parihar,KISHTWAR,BJP,0,Post Graduate,9240074,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=47,main_election
48,Zafar Ali Khatana,KOKERNAG (ST),Jammu & Kashmir National Conference,2,10th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=88,main_election
49,Mohamad Yousuf Tarigami,KULGAM,CPI(M),0,12th Pass,16547672,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=17,main_election
50,Mir Mohammad Fayaz,KUPWARA,Jammu & Kashmir Peoples Democratic Party,0,12th Pass,8541000,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=738,main_election
51,Sheikh Ahsan Ahmed,LAL CHOWK,Jammu & Kashmir National Conference,0,Post Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=375,main_election
52,Khursheed Ahmad Shiekh,LANGATE,IND,0,Graduate Professional,5848592,3963781,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=785,main_election
53,Qaysar Jamshaid Lone,LOLAB,Jammu & Kashmir National Conference,0,Others,92915000,3900000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=593,main_election
54,Surinder Kumar,MARH (SC),BJP,0,8th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=926,main_election
55,Javed Ahmed Rana,MENDHAR (ST),Jammu & Kashmir National Conference,0,Graduate Professional,79910801,6812955,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=452,main_election
56,Devender Singh Rana,NAGROTA,BJP,0,Graduate Professional,1268164580,61900000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=922,main_election
57,Surinder Kumar Choudhary,NOWSHERA,Jammu & Kashmir National Conference,0,12th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=275,main_election
58,Sunil Kumar Sharma,PADDER-NAGSENI,BJP,0,12th Pass,36565288,307394,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=124,main_election
59,Altaf Ahmad Wani,PAHALGAM,Jammu & Kashmir National Conference,0,Graduate Professional,52654465,6054849,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=111,main_election
60,Hasnain Masoodi,PAMPORE,Jammu & Kashmir National Conference,0,Post Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=15,main_election
61,Javaid Riyaz,PATTAN,Jammu & Kashmir National Conference,0,Post Graduate,48242424,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=604,main_election
62,Ajaz Ahmed Jan,POONCH HAVELI,Jammu & Kashmir National Conference,0,12th Pass,26687884,2651440,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=405,main_election
63,Waheed Ur Rehman Para,PULWAMA,Jammu & Kashmir Peoples Democratic Party,2,Post Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=61,main_election
64,Narinder Singh Raina,R.S. PURA - JAMMU SOUTH,BJP,0,Doctorate,39144969,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=678,main_election
65,Javid Ahmad Dar,RAFIABAD,Jammu & Kashmir National Conference,0,12th Pass,48128000,2349000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=716,main_election
66,Iftkar Ahmed,RAJOURI (ST),INC,0,Graduate Professional,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=346,main_election
67,Ghulam Mohi Uddin Mir,RAJPORA,Jammu & Kashmir National Conference,0,12th Pass,46771070,1573938,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=66,main_election
68,Arjun Singh Raju,RAMBAN,Jammu & Kashmir National Conference,0,Graduate Professional,7969649,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=145,main_election
69,Dr Devinder Kumar Manyal,RAMGARH (SC),BJP,0,Graduate Professional,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=681,main_election
70,Sunil Bhardwaj,RAMNAGAR (SC),BJP,0,Doctorate,5017463,1200000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=682,main_election
71,Kuldeep Raj Dubey,REASI,BJP,0,8th Pass,590221000,62775000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=277,main_election
72,Surjeet Singh Slathia,SAMBA,BJP,0,10th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=966,main_election
73,Reyaz Ahmad Khan,SHANGUS-ANANTNAG EAST,Jammu & Kashmir National Conference,0,Graduate Professional,53660821,1548600,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=231,main_election
74,Shabir Ahmad Kullay,SHOPIAN,IND,0,Graduate Professional,151185006,16948728,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=26,main_election
75,Baldev Raj Sharma,SHRI MATA VAISHNO DEVI,BJP,0,10th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=429,main_election
76,Hilal Akbar Lone,SONAWARI,Jammu & Kashmir National Conference,1,Graduate Professional,23720592,1510000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=800,main_election
77,Irshad Rasool Kar,SOPORE,Jammu & Kashmir National Conference,0,12th Pass,187941000,14305000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=714,main_election
78,Bashir Ahmad Shah Veeri,SRIGUFWARA- BIJBEHARA,Jammu & Kashmir National Conference,0,Graduate Professional,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=103,main_election
79,Gharu Ram,SUCHETGARH (SC),BJP,0,Doctorate,104674164,11996000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=771,main_election
80,Choudhary Mohammed Akram,SURANKOTE (ST),IND,0,Graduate Professional,28327205,400000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=402,main_election
81,Muzaffar Iqbal Khan,THANNAMANDI (ST),IND,0,Graduate Professional,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=312,main_election
82,Rafiq Ahmad Naik,TRAL,Jammu & Kashmir Peoples Democratic Party,0,Graduate,92205842,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=58,main_election
83,Saifullah Mir,TREHGAM,Jammu & Kashmir National Conference,0,Graduate Professional,60254800,2481000,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=737,main_election
84,Ranbir Singh Pathania,UDHAMPUR EAST,BJP,0,Graduate Professional,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=698,main_election
85,Pawan Kumar Gupta,UDHAMPUR WEST,BJP,0,Graduate Professional,154878661,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=574,main_election
86,Sajjad Shafi,URI,Jammu & Kashmir National Conference,0,Graduate Professional,62658838,689191,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=717,main_election
87,Chander Parkash,VIJAYPUR,BJP,0,10th Pass,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=827,main_election
88,Irfan Hafiz Lone,WAGOORA - KREERI,INC,0,Graduate Professional,49040511,0,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=880,main_election
89,Tanvir Sadiq,ZADIBAL,Jammu & Kashmir National Conference,0,Graduate Professional,44837063,3665291,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=324,main_election
90,Showkat Hussain Ganie,ZAINAPORA,Jammu & Kashmir National Conference,1,Graduate,,,https://www.myneta.info/JammuKashmir2024/candidate.php?candidate_id=154,main_election
