sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Manohar Utwar,AGAR,BJP,0,12th Pass,6780811,1518807,https://www.myneta.info/mp2013/candidate.php?candidate_id=799,main_election
2,Chouhan Nagar Singh,ALIRAJPUR,BJP,0,12th Pass,19578351,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=713,main_election
3,Jitendra Gehlot,ALOTE,BJP,0,10th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=449,main_election
4,Rajendra Kumar Singh Dadabhai,AMARPATAN,INC,2,Doctorate,64574162,11401077,https://www.myneta.info/mp2013/candidate.php?candidate_id=755,main_election
5,Kamlesh Pratap Shah,AMARWARA,INC,0,10th Pass,72607281,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=308,main_election
6,Satyaprakash,AMBAH,BSP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=182,main_election
7,Chaitram Manekar,AMLA,BJP,0,12th Pass,4688222,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=568,main_election
8,Ramlal Rotal,ANUPPUR,BJP,0,Graduate,35902200,4664332,https://www.myneta.info/mp2013/candidate.php?candidate_id=846,main_election
9,Gopilal Jatav,ASHOK NAGAR,BJP,0,Literate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=1376,main_election
10,Ranjeet Singh Gunwan,ASHTA,BJP,0,10th Pass,6831903,769750,https://www.myneta.info/mp2013/candidate.php?candidate_id=358,main_election
11,Satyadev Katare,ATER,INC,0,Graduate,71813884,19469904,https://www.myneta.info/mp2013/candidate.php?candidate_id=667,main_election
12,Mukesh Pandya,BADNAGAR,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=748,main_election
13,Bhanwar Singh Shekhawat,BADNAWAR,BJP,1,Post Graduate,40348268,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=683,main_election
14,Hitendra Singh Solanki,BADWAHA,BJP,0,12th Pass,26389462,1736000,https://www.myneta.info/mp2013/candidate.php?candidate_id=659,main_election
15,Moti Kashyam,BADWARA,BJP,2,12th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=709,main_election
16,Champalal Devda,BAGLI,BJP,0,8th Pass,3972834,1071000,https://www.myneta.info/mp2013/candidate.php?candidate_id=473,main_election
17,Prabhat Pandey,BAHORIBAND,BJP,0,12th Pass,19951382,831050,https://www.myneta.info/mp2013/candidate.php?candidate_id=279,main_election
18,Sanjay Uike,BAIHAR,INC,0,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=854,main_election
19,Gourishankar Chaturbhuj Bisen,BALAGHAT,BJP,1,Post Graduate,74182316,1060000,https://www.myneta.info/mp2013/candidate.php?candidate_id=292,main_election
20,Mahendra Singh,BAMORI,INC,1,12th Pass,32796307,554961,https://www.myneta.info/mp2013/candidate.php?candidate_id=618,main_election
21,Harvansh Rathore,BANDA,BJP,1,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=642,main_election
22,Gyan Singh,BANDHAVGARH,BJP,0,5th Pass,5159739,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=707,main_election
23,Kamal Maskule,BARGHAT,BJP,1,Graduate,9718410,2048309,https://www.myneta.info/mp2013/candidate.php?candidate_id=860,main_election
24,Pratibha Singh,BARGI,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=849,main_election
25,Ramesh Patel,BARWANI,INC,0,5th Pass,3995786,720473,https://www.myneta.info/mp2013/candidate.php?candidate_id=1059,main_election
26,Nishank Kumar Jain,BASODA,INC,1,Graduate,37329076,7214622,https://www.myneta.info/mp2013/candidate.php?candidate_id=895,main_election
27,Ram Pal Singh,BEOHARI,INC,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=523,main_election
28,Vishnu Khatri,BERASIA,BJP,0,Graduate Professional,21876836,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=760,main_election
29,Hament Khandelwal,BETUL,BJP,0,Graduate Professional,78551251,15491607,https://www.myneta.info/mp2013/candidate.php?candidate_id=793,main_election
30,Vijaysingh,BHAGWANPURA,INC,0,8th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=154,main_election
31,Mahendra Singh Chouhan,BHAINSDEHI,BJP,0,8th Pass,21004326,650000,https://www.myneta.info/mp2013/candidate.php?candidate_id=570,main_election
32,Ghanshyam Pironiya,BHANDER,BJP,0,Graduate,5904038,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=691,main_election
33,Jhuma Solanki,BHIKANGAON,INC,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=377,main_election
34,Narendra Singh Kushwaha,BHIND,BJP,4,12th Pass,4199842,965000,https://www.myneta.info/mp2013/candidate.php?candidate_id=686,main_election
35,Lakhan Singh Yadav,BHITRWAR,INC,0,Graduate,11009937,410000,https://www.myneta.info/mp2013/candidate.php?candidate_id=412,main_election
36,Surendra Patawa,BHOJPUR,BJP,0,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=333,main_election
37,Umashankar Gupta,BHOPAL DAKSHINA-PASCHIM,BJP,0,Post Graduate,33375568,6309000,https://www.myneta.info/mp2013/candidate.php?candidate_id=174,main_election
38,Surendra Nath Singh,BHOPAL MADHYA,BJP,2,Graduate,102936415,3700000,https://www.myneta.info/mp2013/candidate.php?candidate_id=657,main_election
39,Arif Aqueel,BHOPAL UTTAR,INC,1,Graduate Professional,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=898,main_election
40,Narayan Singh Panwar,BIAORA,BJP,0,12th Pass,17461438,1139091,https://www.myneta.info/mp2013/candidate.php?candidate_id=796,main_election
41,Pandit Singh Dhurve,BICHHIYA,BJP,0,Post Graduate,11852407,5000,https://www.myneta.info/mp2013/candidate.php?candidate_id=285,main_election
42,Guddan Pathak (Pushpendra Nath),BIJAWAR,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=655,main_election
43,Mahesh Rai,BINA,BJP,0,12th Pass,7171514,1200202,https://www.myneta.info/mp2013/candidate.php?candidate_id=22,main_election
44,Shivraj Singh Chouhan,BUDHNI,BJP,0,Post Graduate,62754114,7415000,https://www.myneta.info/mp2013/candidate.php?candidate_id=168,main_election
45,Smt. Archana Chitnish,BURHANPUR,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=158,main_election
46,Smt. Mamta Meena,CHACHODA,BJP,0,10th Pass,10327141,2099589,https://www.myneta.info/mp2013/candidate.php?candidate_id=19,main_election
47,Gopal Singh Chauhan,CHANDERI,INC,5,8th Pass,32188929,1778327,https://www.myneta.info/mp2013/candidate.php?candidate_id=690,main_election
48,Ramdayal,CHANDLA,BJP,1,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=831,main_election
49,Lalita Yadav,CHHATARPUR,BJP,0,Graduate,10636128,336480,https://www.myneta.info/mp2013/candidate.php?candidate_id=654,main_election
50,Chaudhary Chandrabhan Singh,CHHINDWARA,BJP,0,Graduate Professional,88743872,2341463,https://www.myneta.info/mp2013/candidate.php?candidate_id=790,main_election
51,Prem Singh,CHITRAKOOT,INC,0,5th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=743,main_election
52,Saraswati Singh,CHITRANGI,INC,0,12th Pass,2753925,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=768,main_election
53,Pt. Ramesh Dubey,CHURAI,BJP,0,12th Pass,85105994,840125,https://www.myneta.info/mp2013/candidate.php?candidate_id=789,main_election
54,Ajay Arjun Singh,CHURHAT,INC,2,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=258,main_election
55,Imarti Devi,DABARA,INC,0,12th Pass,11849000,1989540,https://www.myneta.info/mp2013/candidate.php?candidate_id=191,main_election
56,Jayant Malaiya,DAMOH,BJP,0,Graduate Professional,136550867,1732818,https://www.myneta.info/mp2013/candidate.php?candidate_id=225,main_election
57,Dr. Narottam Mishra,DATIA,BJP,0,Doctorate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=824,main_election
58,Harsh Swaroop,DEORI,INC,0,Post Graduate,52724481,1161000,https://www.myneta.info/mp2013/candidate.php?candidate_id=208,main_election
59,Girish Goutam,DEOTALAB,BJP,0,Graduate Professional,16595630,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=839,main_election
60,Manoj Patel,DEPALPUR,BJP,3,10th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=720,main_election
61,Rajendra Meshram,DEVSAR,BJP,0,12th Pass,3614977,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=704,main_election
62,Tukojirao Panwar,DEWAS,BJP,1,Graduate,278711801,24785428,https://www.myneta.info/mp2013/candidate.php?candidate_id=753,main_election
63,Neena Verma,DHAR,BJP,0,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=112,main_election
64,Kalu Singh,DHARAMPURI,BJP,4,5th Pass,19222983,4050000,https://www.myneta.info/mp2013/candidate.php?candidate_id=143,main_election
65,Kunwar Singh,DHOUHANI,BJP,0,Post Graduate,8312757,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=271,main_election
66,Balveer Singh,DIMANI,BSP,3,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=941,main_election
67,Omkar Singh Markam,DINDORI,INC,0,Post Graduate,9017736,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=818,main_election
68,Kailash Vijayvargiya,DR.AMBEDHKAR NAGAR - MHOW,BJP,0,Graduate Professional,18371448,1900000,https://www.myneta.info/mp2013/candidate.php?candidate_id=727,main_election
69,Govind Singh Patel,GADARWARA,BJP,0,Others,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=669,main_election
70,Umang Singhar,GANDHWANI,INC,0,Graduate,23406740,871641,https://www.myneta.info/mp2013/candidate.php?candidate_id=468,main_election
71,Rajesh Yadav,GAROTH,BJP,1,Graduate,24972968,2210105,https://www.myneta.info/mp2013/candidate.php?candidate_id=811,main_election
72,Satish Malviya,GHATIYA,BJP,1,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=744,main_election
73,Sajjan Singh Uike,GHODADONGRI,BJP,1,12th Pass,7806984,1000000,https://www.myneta.info/mp2013/candidate.php?candidate_id=865,main_election
74,Lal Singh Arya,GOHAD,BJP,1,Graduate Professional,7636822,400000,https://www.myneta.info/mp2013/candidate.php?candidate_id=821,main_election
75,Dr. Kailash Jatav,GOTEGAON,BJP,0,12th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=783,main_election
76,Babulal Gaur,GOVINDPURA,BJP,1,Graduate Professional,18547393,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=171,main_election
77,Panna Lal Shakya,GUNA,BJP,0,Post Graduate,1016470,5000,https://www.myneta.info/mp2013/candidate.php?candidate_id=18,main_election
78,Mahendra Bagri,GUNNAOR,BJP,0,Graduate Professional,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=699,main_election
79,Sundarlal Tiwari,GURH,INC,0,Graduate Professional,46632079,325476,https://www.myneta.info/mp2013/candidate.php?candidate_id=766,main_election
80,Jaibhan Singh Pavaia,GWALIOR,BJP,1,Others,8790431,72000,https://www.myneta.info/mp2013/candidate.php?candidate_id=822,main_election
81,Maya Singh,GWALIOR EAST,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=666,main_election
82,Bharat Kushwaha,GWALIOR RURAL,BJP,0,12th Pass,2399459,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=664,main_election
83,Narayan Singh Kushwaha,GWALIOR SOUTH,BJP,0,12th Pass,10854747,1213352,https://www.myneta.info/mp2013/candidate.php?candidate_id=688,main_election
84,Ram Kishore Dogne,HARDA,INC,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=884,main_election
85,Vijay Shah,HARSUD,BJP,0,Post Graduate,68391215,15844221,https://www.myneta.info/mp2013/candidate.php?candidate_id=752,main_election
86,Umadevi Khatik,HATA,BJP,0,12th Pass,6517856,1451660,https://www.myneta.info/mp2013/candidate.php?candidate_id=698,main_election
87,Deepak Joshi,HATPIPLIYA,BJP,0,Graduate Professional,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=96,main_election
88,Dr. Sitasharan Sharma,HOSHANGABAD,BJP,0,Graduate Professional,103039994,5017550,https://www.myneta.info/mp2013/candidate.php?candidate_id=70,main_election
89,Rameshwar Sharma,HUZUR,BJP,1,Graduate,25543993,1659638,https://www.myneta.info/mp2013/candidate.php?candidate_id=658,main_election
90,Shailendra Patel,ICHHAWAR,INC,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=904,main_election
91,Sudarshan Gupta,INDORE - 1,BJP,2,Post Graduate,65541869,5569313,https://www.myneta.info/mp2013/candidate.php?candidate_id=721,main_election
92,Ramesh Mendola,INDORE - 2,BJP,1,Post Graduate,12513465,1028253,https://www.myneta.info/mp2013/candidate.php?candidate_id=722,main_election
93,Usha Thakur Didi,INDORE - 3,BJP,2,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=723,main_election
94,Mahendra Hardia,INDORE - 5,BJP,0,Post Graduate,22437770,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=725,main_election
95,Ashok Rohani,JABALPUR CANTT,BJP,0,12th Pass,21275151,13932690,https://www.myneta.info/mp2013/candidate.php?candidate_id=775,main_election
96,Anchal Sonkar,JABALPUR EAST,BJP,1,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=281,main_election
