sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Govardhan Sharma,AAKOLA WEST,BJP,1,Graduate,20277339,1913341,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=886,main_election
2,Bacchu Alias Omprakash Babarao Kadu,ACHALPUR,IND,4,12th Pass,5762151,9496000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=4266,main_election
3,Ambrishrao Raje Satyavanrao Atram,AHERI (ST),BJP,0,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=910,main_election
4,Sangram Arunkaka Jagtap,AHMEDNAGAR CITY,NCP,1,Graduate,42779335,14882106,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1127,main_election
5,Jadhav Patil Vinayakrao Kishanrao,AHMEDPUR,IND,2,8th Pass,23622869,1972118,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=4165,main_election
6,Sandip Ganesh Naik,AIROLI,NCP,0,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1113,main_election
7,Siddharam Satlingappa Mhetre,AKKALKOT,INC,0,Graduate,124589475,21684810,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=597,main_election
8,Padavi Adv. K.c.,AKKALKUWA (ST),INC,0,Post Graduate,16999124,469200,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=473,main_election
9,Randhir Savarkar,AKOLA EAST,BJP,0,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1010,main_election
10,Pichad Vaibhav Madhukar,AKOLE (ST),NCP,0,10th Pass,30764997,5219511,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=772,main_election
11,Prakash Bharsakle,AKOT,BJP,0,8th Pass,108989206,54026462,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=885,main_election
12,Subhash Alias Panditshet Patil,ALIBAG,Peasants And Workers Party of India,0,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2475,main_election
13,Kinikar Balaji Pralhad,AMBARNATH (SC),SHS,0,Graduate Professional,51235634,6299714,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1291,main_election
14,Dilip Dattatray Walse Patil,AMBEGAON,NCP,4,Post Graduate,38708246,5040593,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=727,main_election
15,Sanjay Puram,AMGAON (ST),BJP,0,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=427,main_election
16,Deshmukh Sunil Panjabrao,AMRAWATI,BJP,0,Post Graduate,114251625,29340572,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1413,main_election
17,Ameet Bhaskar Satam,ANDHERI WEST,BJP,0,Post Graduate,20280333,7600000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=690,main_election
18,Ramesh Kondiram Latke,ANDHERI EAST,SHS,2,10th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1333,main_election
19,Tukaram Ramkrishna Kate,ANUSHAKTI NAGAR,SHS,3,8th Pass,13773168,344641,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2256,main_election
20,Rajkumar Badole,ARJUNI MORGAON (SC),BJP,2,Graduate,7174817,1816871,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=417,main_election
21,Krishna D. Gajabe,ARMORI (ST),BJP,0,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1019,main_election
22,Raju Todsam,ARNI (ST),BJP,5,Post Graduate,8446000,1499448,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1022,main_election
23,Amar Sharad Kale,ARVI,INC,0,12th Pass,18916588,3780957,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=485,main_election
24,Bhimrao Dhonde,ASHTI,BJP,1,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1181,main_election
25,Sayed Imtiaz Jaleel,AURANGABAD (CENTRAL),ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN,0,Post Graduate,10376169,660000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=514,main_election
26,Atul Save,AURANGABAD (EAST),BJP,7,Graduate,163729791,28554170,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1165,main_election
27,Shirsath Sanjay Pandurang,AURANGABAD (WEST) (SC),SHS,1,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=518,main_election
28,Patil Basavraj Madhavrao,AUSA,INC,0,Graduate,48161441,40379316,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=592,main_election
