sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Lalthansanga,AIZAWL EAST-I,Zoram People’s Movement,0,12th Pass,27108009,0,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=23,main_election
2,B. Lalchhanzova,AIZAWL EAST-II (ST),Zoram People’s Movement,0,Post Graduate,25358766,1442878,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=26,main_election
3,Vanlalhlana,AIZAWL NORTH-I (ST),Zoram People’s Movement,0,Post Graduate,,,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=113,main_election
4,Dr. Vanlalthlana,AIZAWL NORTH-II (ST),Zoram People’s Movement,0,Doctorate,25246519,7935904,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=28,main_election
5,K. Sapdanga,AIZAWL NORTH-III (ST),Zoram People’s Movement,1,Graduate,211381716,17988406,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=32,main_election
6,C. Lalsawivunga,AIZAWL SOUTH-I (ST),Zoram People’s Movement,0,Graduate,,,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=35,main_election
7,Lalchhuanthanga,AIZAWL SOUTH-II (ST),Zoram People’s Movement,0,Graduate,168461372,3673334,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=121,main_election
8,Baryl Vanneihsangi,AIZAWL SOUTH-III (ST),Zoram People’s Movement,0,Post Graduate,18876050,3500000,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=39,main_election
9,Tbc Lalvenchhunga,AIZAWL WEST-I (ST),Zoram People’s Movement,0,12th Pass,,,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=42,main_election
10,Lalnghinglova Hmar,AIZAWL WEST-II (ST),Zoram People’s Movement,1,Post Graduate,37036633,14932016,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=43,main_election
11,V. L. Zaithanzama,AIZAWL WEST-III (ST),Zoram People’s Movement,0,10th Pass,20767394,2617028,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=45,main_election
12,Lalbiakzama,CHALFILH (ST),Zoram People’s Movement,0,Graduate,,,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=49,main_election
13,H. Ginzalala,CHAMPHAI NORTH (ST),Zoram People’s Movement,0,Post Graduate,360952042,2286577,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=90,main_election
14,Lt Col. Clement Lalhmingthanga,CHAMPHAI SOUTH (ST),Zoram People’s Movement,0,Graduate,106815076,9919959,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=50,main_election
15,Lalrintluanga Sailo,DAMPA (ST),MNF,0,8th Pass,,,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=54,main_election
16,Ramthanmawia,EAST TUIPUI (ST),MNF,0,Graduate Professional,131576260,2389147,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=135,main_election
17,Robert Romawia Royte,HACHHEK (ST),MNF,0,Post Graduate,322400039,5036206,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=14,main_election
18,Lalmuanpuia Punte,HRANGTURZO (ST),Zoram People’s Movement,0,Graduate,,,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=59,main_election
19,Lalfamkima,KOLASIB (ST),Zoram People’s Movement,0,Graduate,83306871,505204,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=61,main_election
20,Dr. Lorrain Lalpekliana Chinzah,LAWNGTLAI EAST (ST),Zoram People’s Movement,0,Graduate Professional,4281824,0,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=140,main_election
21,C. Ngunlianchunga,LAWNGTLAI WEST (ST),INC,0,8th Pass,,,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=142,main_election
22,F.Rodingliana,LENGTENG (ST),Zoram People’s Movement,0,10th Pass,222835783,12255024,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=67,main_election
23,Lalrinpuii,LUNGLEI EAST (ST),Zoram People’s Movement,0,Graduate,31247121,2300441,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=169,main_election
24,V. Malsawmtluanga,LUNGLEI NORTH (ST),Zoram People’s Movement,1,Post Graduate,,,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=91,main_election
25,Lalramliana Papuia,LUNGLEI SOUTH (ST),Zoram People’s Movement,0,Post Graduate,9983553,404349,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=70,main_election
26,T. Lalhlimpuia,LUNGLEI WEST (ST),Zoram People’s Movement,0,Post Graduate,8903696,0,https://www.myneta.info/Mizoram2023/candidate.php?candidate_id=95,main_election
