sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Ghanshyam,TODABHIM,INC,1,8th Pass,5945787,447443,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=2102,main_election
2,Ashok Parnami,ADARSH NAGAR,BJP,0,Graduate,266111348,169065542,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=332,main_election
3,Shankar Singh Rajpurohit,AHORE,BJP,0,12th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=725,main_election
4,Vasudev Devnani,AJMER NORTH,BJP,0,Graduate Professional,19488821,1874626,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1052,main_election
5,Anita Bhadel,AJMER SOUTH,BJP,0,Post Graduate,8744345,1250530,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1051,main_election
6,Jairam Jatav,ALWAR RURAL,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=392,main_election
7,Banwari Lal Singhal,ALWAR URBAN,BJP,0,12th Pass,20237326,5075817,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=394,main_election
8,Naveen Pilania,AMBER,NPEPT,0,Graduate Professional,117609703,17822060,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1314,main_election
9,Prabhu Lal Saini,ANTA,BJP,0,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=450,main_election
10,Shimla Bawri,ANUPGARH,BJP,0,12th Pass,917885,450000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=174,main_election
11,Ram Lal Gurjar,ASIND,BJP,0,12th Pass,10234848,143961,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=548,main_election
12,Gopi Chand Meena,ASPUR,BJP,0,8th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=646,main_election
13,Mahendra Jeet Singh Malviya,BAGIDORA,INC,0,Graduate,26087848,6546778,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=616,main_election
14,Kailash Chand,BAGRU,BJP,0,Post Graduate,1348278,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=348,main_election
15,Pushpendra Singh,BALI,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=915,main_election
16,Kunji Lal,BAMANWAS,BJP,0,Literate,9027701,100000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1109,main_election
17,Mrs. Alka Singh,BANDIKUI,BJP,0,Doctorate,23158716,3048616,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1875,main_election
