sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Arun Kumar Upreti,ARITHANG,Sikkim Krantikari Morcha,0,12th Pass,114234450,0,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4727,main_election
2,Tashi Thendup Bhutia,BARFUNG,SDF,0,8th Pass,31189506,713424,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4633,main_election
3,Krishna Bahadur Rai,CHUJACHEN,SDF,0,Graduate,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4701,main_election
4,Mingma Norbu Sherpa,DARAMDIN,Sikkim Krantikari Morcha,0,Graduate,16735961,616705,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4627,main_election
5,Pintso Namgyal Lepcha,DJONGU,SDF,0,8th Pass,27836065,682651,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4744,main_election
6,Kunga Nima Lepcha,GANGTOK,Sikkim Krantikari Morcha,0,Graduate,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4733,main_election
7,Dorjee Tshering Lepcha,GNATHANG-MACHONG,SDF,0,10th Pass,122463095,4914562,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4607,main_election
8,Lok Nath Sharma,GYALSING-BERNYAK,Sikkim Krantikari Morcha,0,12th Pass,20980413,2179950,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4619,main_election
9,Karma Loday Bhutia,KABI LUNGCHUK,Sikkim Krantikari Morcha,0,Graduate,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4741,main_election
10,Mani Kumar Sharma,KHAMDONG-SINGTAM,Sikkim Krantikari Morcha,0,Graduate Professional,92458069,18316467,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4754,main_election
11,Samdup Lepcha,LACHEN MANGAN,Sikkim Krantikari Morcha,0,10th Pass,237116263,33525370,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4749,main_election
12,Narendra Kumar Subba,MANEYBUNG-DENTAM,SDF,0,Graduate Professional,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4588,main_election
13,Dorjee Tshering Lepcha,MARTAM-RUMTEK,SDF,0,10th Pass,122463095,4914562,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4718,main_election
14,Farwanti Tamang,MELLI,SDF,0,12th Pass,18628851,2230000,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4590,main_election
15,Em Prasad Sharma,NAMCHEYBUNG,SDF,0,12th Pass,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4599,main_election
16,Pawan Chamling,NAMCHI-SINGHITHANG,SDF,0,Doctorate,135560662,47877458,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4650,main_election
17,Sanjeet Kharel,NAMTHANG-RATEYPANI,Sikkim Krantikari Morcha,0,Graduate,40763883,311049,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4662,main_election
18,Pawan Chamling,POKLOK-KAMRANG,SDF,0,Doctorate,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4645,main_election
19,Raj Kumari Thapa,RANGANG-YANGANG,SDF,0,Graduate,3710890,0,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4593,main_election
20,Bishnu Kr Sharma,RHENOCK,Sikkim Krantikari Morcha,0,5th Pass,92848510,257494,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4695,main_election
21,Karma Sonam Lepcha,RINCHENPONG,SDF,0,8th Pass,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4605,main_election
22,Sunita Gajmer,SALGHARI-ZOOM,Sikkim Krantikari Morcha,0,10th Pass,8232439,2913489,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4643,main_election
23,Sonam Lama,SANGHA,Sikkim Krantikari Morcha,0,8th Pass,12702601,1718238,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4751,main_election
24,Kunga Nima Lepcha,SHYARI,Sikkim Krantikari Morcha,0,Graduate,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4715,main_election
25,Aditya Golay Tamang,SOREONG-CHAKUNG,Sikkim Krantikari Morcha,0,Graduate,1433713,0,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4637,main_election
26,Bedu Singh Panth,TIMI-NAMPHING,Sikkim Krantikari Morcha,0,12th Pass,88141465,1299550,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4671,main_election
27,Ugen T. Gyatso Bhutia,TUMEN-LINGI,SDF,0,10th Pass,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4594,main_election
28,Dilliram Thapa,UPPER BURTUK,SDF,0,Graduate Professional,675693074,3722141,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4736,main_election
29,Gay Tshering Dhungel,UPPER TADONG,SDF,0,Graduate Professional,199791072,461965,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4595,main_election
30,Lall Bahadur Das,WEST PENDAM,Sikkim Krantikari Morcha,0,Graduate,,,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4692,main_election
31,Bhim Hang Limboo,YANGTHANG,Sikkim Krantikari Morcha,0,Graduate,3965875,0,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4614,main_election
32,Sangay Lepcha,YOKSAM-TASHIDING,Sikkim Krantikari Morcha,0,10th Pass,19255608,953014,https://www.myneta.info/sikkim2019/candidate.php?candidate_id=4608,main_election
