sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Rinki Kol,CHHANBEY : BYE ELECTION ON 10-05-2023,Apna Dal (Soneylal),0,Graduate,9763296,0,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4885,bye_election
2,Arvind Kumar Singh,DADRAUL : BYE ELECTION ON 13-05-2024,BJP,0,Post Graduate,134811154,5589214,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4914,bye_election
3,Vijay Singh,DUDDHI (ST) : BYE ELECTION ON 01-06-2024,SP,0,Graduate,,,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4936,bye_election
4,Rakesh Kumar Yadav,GAINSARI : BYE ELECTION ON 25-05-2024,SP,0,Graduate Professional,36036568,7834178,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4928,bye_election
5,Sudhakar Singh,GHOSI : BYE ELECTION ON 05-09-2023,SP,0,Post Graduate,22500000,1800000,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4901,bye_election
6,Aman Giri,GOLA GOKRANNATH : BYE ELECTION ON 03-11-2022,BJP,0,Graduate Professional,,,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4852,bye_election
7,Madan Bhaiya,KHATAULI : BYE ELECTION ON 05-12-2022,RLD,0,12th Pass,157032665,5150000,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4859,bye_election
8,O. P. Srivastava,LUCKNOW EAST : BYE ELECTION ON 20-05-2024,BJP,0,Graduate,147658398,30170621,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4926,bye_election
9,Akash Saxena (Honey),RAMPUR : BYE ELECTION ON 05-12-2022,BJP,0,12th Pass,,,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4873,bye_election
10,Shafeek Ahmed Ansari,SUAR : BYE ELECTION ON 10-05-2023,Apna Dal (Soneylal),0,Literate,5800000,0,https://www.myneta.info/uttarpradesh2022/candidate.php?candidate_id=4892,bye_election
