sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Pawan Kumar Singh,BHATPARA : BYE ELECTION ON 19-05-2019,BJP,0,Graduate,57528207,16250000,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2148,bye_election
2,Neeraj Tamang Zimba,DARJEELING : BYE ELECTION ON 19-05-2019,BJP,0,Post Graduate,6440811,0,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2160,bye_election
3,Joyel Murmu,HABIBPUR : BYE ELECTION ON 19-05-2019,BJP,0,8th Pass,,,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2169,bye_election
4,Abdul Karim Chowdhary,ISLAMPUR : BYE ELECTION ON 19-05-2019,AITC,0,12th Pass,13040046,546459,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2176,bye_election
5,Tapan Deb Singha,KALIAGANJ : BYE ELECTION ON 25-11-2019,AITC,0,Graduate,11657155,977742,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2203,bye_election
6,Shafiul Alam Khan (banu Khan),KANDI : BYE ELECTION ON 19-05-2019,INC,0,12th Pass,,,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2183,bye_election
7,Chandrima Bhattacharya,KANTHI DAKSHIN : BYE ELECTION ON 9-04-2017,AITC,0,Graduate Professional,2433025,0,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2120,bye_election
8,Bimalendu Sinha Roy,KARIMPUR : BYE ELECTION ON 25-11-2019,AITC,0,Post Graduate,24957763,535297,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2191,bye_election
9,Pradip Sarkar,KHARAGPUR SADAR : BYE ELECTION ON 25-11-2019,AITC,0,Graduate,,,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2192,bye_election
10,Ashis Kumar Biswas,KRISHNAGANJ (SC) : BYE ELECTION ON 29-04-2019,BJP,0,10th Pass,11247779,0,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2140,bye_election
11,Dulal Chandra Das,MAHESHTALA : BYE ELECTION ON 28-05-2018,AITC,0,8th Pass,92757128,0,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2135,bye_election
12,Saikat Panja,MONTESWAR : BYE ELECTION ON 19-11-2016,AITC,0,Post Graduate,,,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2114,bye_election
13,Sunil Singh,NOAPARA : BYE ELECTION ON 29-01-2018,AITC,0,8th Pass,25658341,7711075,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2131,bye_election
14,Sahina Mamtaz Begum (khan),NOWDA : BYE ELECTION ON 19-05-2019,AITC,0,10th Pass,8220000,0,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2187,bye_election
15,Gita Rani Bhunia,SABANG : BYE- ELECTION ON 21-12-2017,AITC,0,8th Pass,,,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2126,bye_election
16,Idris Ali,ULUBERIA PURBA : BYE ELECTION ON 06-05-2019,AITC,0,Graduate Professional,22180028,0,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=2141,bye_election
